Dataseed	datadirname	use_training_form	binning	ignore_last_minutes	moving_average	regression_window_in_minutes	regression_step_in_minutes	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T,(nothing, 4, 0.1, 0.001, false)train_accuracy	T,(nothing, 4, 0.1, 0.001, false)K	T,(nothing, 4, 0.1, 0.001, false)accuracy	T,(nothing, 4, 0.1, 0.001, false)macro_sensitivity	T,(nothing, 4, 0.1, 0.001, false)safe_macro_sensitivity	T,(nothing, 4, 0.1, 0.001, false)safe_macro_specificity	T,(nothing, 4, 0.1, 0.001, false)safe_macro_PPV	T,(nothing, 4, 0.1, 0.001, false)safe_macro_NPV	T,(nothing, 4, 0.1, 0.001, false)safe_macro_F1	T,(nothing, 4, 0.1, 0.001, false)n_nodes	T,(nothing, 4, 0.1, 0.001, false)n_leaves	T,(nothing, 4, 0.1, 0.001, false)height	T,(nothing, 4, 0.1, 0.001, false)modal_height	T,(nothing, 4, 0.1, 0.001, false)t	T,(nothing, 4, 0.1, 0.001, false)hash	T,(nothing, 4, 0.02, 0.001, false)train_accuracy	T,(nothing, 4, 0.02, 0.001, false)K	T,(nothing, 4, 0.02, 0.001, false)accuracy	T,(nothing, 4, 0.02, 0.001, false)macro_sensitivity	T,(nothing, 4, 0.02, 0.001, false)safe_macro_sensitivity	T,(nothing, 4, 0.02, 0.001, false)safe_macro_specificity	T,(nothing, 4, 0.02, 0.001, false)safe_macro_PPV	T,(nothing, 4, 0.02, 0.001, false)safe_macro_NPV	T,(nothing, 4, 0.02, 0.001, false)safe_macro_F1	T,(nothing, 4, 0.02, 0.001, false)n_nodes	T,(nothing, 4, 0.02, 0.001, false)n_leaves	T,(nothing, 4, 0.02, 0.001, false)height	T,(nothing, 4, 0.02, 0.001, false)modal_height	T,(nothing, 4, 0.02, 0.001, false)t	T,(nothing, 4, 0.02, 0.001, false)hash	T,(nothing, 4, 0.01, 0.001, false)train_accuracy	T,(nothing, 4, 0.01, 0.001, false)K	T,(nothing, 4, 0.01, 0.001, false)accuracy	T,(nothing, 4, 0.01, 0.001, false)macro_sensitivity	T,(nothing, 4, 0.01, 0.001, false)safe_macro_sensitivity	T,(nothing, 4, 0.01, 0.001, false)safe_macro_specificity	T,(nothing, 4, 0.01, 0.001, false)safe_macro_PPV	T,(nothing, 4, 0.01, 0.001, false)safe_macro_NPV	T,(nothing, 4, 0.01, 0.001, false)safe_macro_F1	T,(nothing, 4, 0.01, 0.001, false)n_nodes	T,(nothing, 4, 0.01, 0.001, false)n_leaves	T,(nothing, 4, 0.01, 0.001, false)height	T,(nothing, 4, 0.01, 0.001, false)modal_height	T,(nothing, 4, 0.01, 0.001, false)t	T,(nothing, 4, 0.01, 0.001, false)hash	T,(nothing, 4, 0.005, 0.001, false)train_accuracy	T,(nothing, 4, 0.005, 0.001, false)K	T,(nothing, 4, 0.005, 0.001, false)accuracy	T,(nothing, 4, 0.005, 0.001, false)macro_sensitivity	T,(nothing, 4, 0.005, 0.001, false)safe_macro_sensitivity	T,(nothing, 4, 0.005, 0.001, false)safe_macro_specificity	T,(nothing, 4, 0.005, 0.001, false)safe_macro_PPV	T,(nothing, 4, 0.005, 0.001, false)safe_macro_NPV	T,(nothing, 4, 0.005, 0.001, false)safe_macro_F1	T,(nothing, 4, 0.005, 0.001, false)n_nodes	T,(nothing, 4, 0.005, 0.001, false)n_leaves	T,(nothing, 4, 0.005, 0.001, false)height	T,(nothing, 4, 0.005, 0.001, false)modal_height	T,(nothing, 4, 0.005, 0.001, false)t	T,(nothing, 4, 0.005, 0.001, false)hash	T,(nothing, 4, 0.001, 0.001, false)train_accuracy	T,(nothing, 4, 0.001, 0.001, false)K	T,(nothing, 4, 0.001, 0.001, false)accuracy	T,(nothing, 4, 0.001, 0.001, false)macro_sensitivity	T,(nothing, 4, 0.001, 0.001, false)safe_macro_sensitivity	T,(nothing, 4, 0.001, 0.001, false)safe_macro_specificity	T,(nothing, 4, 0.001, 0.001, false)safe_macro_PPV	T,(nothing, 4, 0.001, 0.001, false)safe_macro_NPV	T,(nothing, 4, 0.001, 0.001, false)safe_macro_F1	T,(nothing, 4, 0.001, 0.001, false)n_nodes	T,(nothing, 4, 0.001, 0.001, false)n_leaves	T,(nothing, 4, 0.001, 0.001, false)height	T,(nothing, 4, 0.001, 0.001, false)modal_height	T,(nothing, 4, 0.001, 0.001, false)t	T,(nothing, 4, 0.001, 0.001, false)hash	T,(nothing, 4, 0.0005, 0.001, false)train_accuracy	T,(nothing, 4, 0.0005, 0.001, false)K	T,(nothing, 4, 0.0005, 0.001, false)accuracy	T,(nothing, 4, 0.0005, 0.001, false)macro_sensitivity	T,(nothing, 4, 0.0005, 0.001, false)safe_macro_sensitivity	T,(nothing, 4, 0.0005, 0.001, false)safe_macro_specificity	T,(nothing, 4, 0.0005, 0.001, false)safe_macro_PPV	T,(nothing, 4, 0.0005, 0.001, false)safe_macro_NPV	T,(nothing, 4, 0.0005, 0.001, false)safe_macro_F1	T,(nothing, 4, 0.0005, 0.001, false)n_nodes	T,(nothing, 4, 0.0005, 0.001, false)n_leaves	T,(nothing, 4, 0.0005, 0.001, false)height	T,(nothing, 4, 0.0005, 0.001, false)modal_height	T,(nothing, 4, 0.0005, 0.001, false)t	T,(nothing, 4, 0.0005, 0.001, false)hash	
1	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(10,10)	60	10	1920	1656	(960, 960)	(288, 1368)	[35]	[(6,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	17.262	08fe752b0ecb182430f0d99b19ba894a14a225cd609c5149abb45a11ac6b210f	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	6.022	08fe752b0ecb182430f0d99b19ba894a14a225cd609c5149abb45a11ac6b210f	97.03	34.69	76.81	71.44	79.68	63.19	91.14	39.57	85.02	279	140	19	15	434.635	dd183a3d0019916b82d8a94300b26bdea2b56ddf28733d02c44dbb6564b99fad	97.03	34.69	76.81	71.44	79.68	63.19	91.14	39.57	85.02	279	140	19	15	359.817	dd183a3d0019916b82d8a94300b26bdea2b56ddf28733d02c44dbb6564b99fad	97.03	34.69	76.81	71.44	79.68	63.19	91.14	39.57	85.02	279	140	19	15	357.945	dd183a3d0019916b82d8a94300b26bdea2b56ddf28733d02c44dbb6564b99fad	97.03	34.69	76.81	71.44	79.68	63.19	91.14	39.57	85.02	279	140	19	15	356.405	dd183a3d0019916b82d8a94300b26bdea2b56ddf28733d02c44dbb6564b99fad	
2	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(10,10)	60	10	1728	2208	(864, 864)	(384, 1824)	[35]	[(6,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	5.314	5d3e0bb6ad891f9c7f32d531c20c0866415663f5b5a19dd613e8a53927b63474	53.01	2.41	22.87	53.32	6.63	100.0	100.0	18.4	12.44	3	2	1	1	148.419	41250a49d4c930ea4bfae3fd78e6a6319230f50bb530b68553e7e7f61a1853c9	96.64	20.82	70.56	63.47	74.34	52.6	88.17	30.15	80.67	255	128	23	19	336.709	4d8135fae47c6c9ce5f4338b100d63356458a70baaa6ab31c1dea392949a1f17	96.64	20.82	70.56	63.47	74.34	52.6	88.17	30.15	80.67	255	128	23	19	337.523	4d8135fae47c6c9ce5f4338b100d63356458a70baaa6ab31c1dea392949a1f17	96.64	20.82	70.56	63.47	74.34	52.6	88.17	30.15	80.67	255	128	23	19	338.423	4d8135fae47c6c9ce5f4338b100d63356458a70baaa6ab31c1dea392949a1f17	96.64	20.82	70.56	63.47	74.34	52.6	88.17	30.15	80.67	255	128	23	19	319.76	4d8135fae47c6c9ce5f4338b100d63356458a70baaa6ab31c1dea392949a1f17	
3	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(10,10)	60	10	1968	1518	(984, 984)	(264, 1254)	[35]	[(6,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	6.251	4f4ba321e6c1e383640760ad90f1c853c5f4ae3d5b788f6a9ca4c11b5f4db478	71.09	2.92	32.61	53.53	21.45	85.61	87.62	18.66	34.47	87	44	19	15	289.108	3256eb7807f3b0fc81a42bd2c9b81aa999d1499ba6bcc906ed195e547e036029	96.85	25.25	73.25	65.72	77.27	54.17	88.9	33.41	82.68	267	134	20	18	323.112	a9ec76ae4c509449ec1248079fc9d0ce120e917035d69d3835b7c71ae91f538b	96.85	25.25	73.25	65.72	77.27	54.17	88.9	33.41	82.68	267	134	20	18	327.035	a9ec76ae4c509449ec1248079fc9d0ce120e917035d69d3835b7c71ae91f538b	96.85	25.25	73.25	65.72	77.27	54.17	88.9	33.41	82.68	267	134	20	18	328.672	a9ec76ae4c509449ec1248079fc9d0ce120e917035d69d3835b7c71ae91f538b	96.85	25.25	73.25	65.72	77.27	54.17	88.9	33.41	82.68	267	134	20	18	325.423	a9ec76ae4c509449ec1248079fc9d0ce120e917035d69d3835b7c71ae91f538b	
4	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(10,10)	60	10	1872	1794	(936, 936)	(312, 1482)	[35]	[(6,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	6.44	9ceb80079db17a78260b3fecb972751e2e7119677430c7e784f2f7c21f67f71a	68.59	7.26	54.4	56.21	53.44	58.97	86.09	21.05	65.95	45	23	8	5	287.404	dd588ca287713a5d97113b651c6c305a090b2671fe7fcd46a4bfd68ad16986de	97.38	6.55	70.74	53.57	79.89	27.24	83.91	22.19	81.85	227	114	16	13	363.031	b63fcba7c00ad19035d55b7f25e6be6b5852388fa0e699acd829e8bd59f366d9	97.38	6.55	70.74	53.57	79.89	27.24	83.91	22.19	81.85	227	114	16	13	362.073	b63fcba7c00ad19035d55b7f25e6be6b5852388fa0e699acd829e8bd59f366d9	97.38	6.55	70.74	53.57	79.89	27.24	83.91	22.19	81.85	227	114	16	13	353.611	b63fcba7c00ad19035d55b7f25e6be6b5852388fa0e699acd829e8bd59f366d9	97.38	6.55	70.74	53.57	79.89	27.24	83.91	22.19	81.85	227	114	16	13	354.777	b63fcba7c00ad19035d55b7f25e6be6b5852388fa0e699acd829e8bd59f366d9	
0	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(10,10)	60	10	7176	7176	(1248, 5928)	(1248, 5928)	[35]	[(6,)]	82.61	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	67.829	8be5d2771d4795008e9ad4ed8fbe7da25870f753af6d6b509996a97a8a32161f	82.61	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	68.2	8be5d2771d4795008e9ad4ed8fbe7da25870f753af6d6b509996a97a8a32161f	82.61	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	72.752	8be5d2771d4795008e9ad4ed8fbe7da25870f753af6d6b509996a97a8a32161f	98.55	94.89	98.55	96.85	99.46	94.23	98.79	97.35	99.13	461	231	22	17	2943.229	e75e6b6efde4070fb6e8684de71492dd6635c5e25ee2923f48579f3d325e6f54	98.55	94.89	98.55	96.85	99.46	94.23	98.79	97.35	99.13	461	231	22	17	2813.588	e75e6b6efde4070fb6e8684de71492dd6635c5e25ee2923f48579f3d325e6f54	98.55	94.89	98.55	96.85	99.46	94.23	98.79	97.35	99.13	461	231	22	17	2812.017	e75e6b6efde4070fb6e8684de71492dd6635c5e25ee2923f48579f3d325e6f54	
1	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(6,6)	60	10	1920	1656	(960, 960)	(288, 1368)	[35]	[(10,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	8.795	08fe752b0ecb182430f0d99b19ba894a14a225cd609c5149abb45a11ac6b210f	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	8.381	08fe752b0ecb182430f0d99b19ba894a14a225cd609c5149abb45a11ac6b210f	96.77	26.36	74.58	65.84	79.24	52.43	88.78	34.71	83.74	269	135	20	17	829.61	9a7f559e77fd914b58cd5e86d78580f65b1168d368f0bd211d3ea02268296159	96.77	26.36	74.58	65.84	79.24	52.43	88.78	34.71	83.74	269	135	20	17	560.759	9a7f559e77fd914b58cd5e86d78580f65b1168d368f0bd211d3ea02268296159	96.77	26.36	74.58	65.84	79.24	52.43	88.78	34.71	83.74	269	135	20	17	567.637	9a7f559e77fd914b58cd5e86d78580f65b1168d368f0bd211d3ea02268296159	96.77	26.36	74.58	65.84	79.24	52.43	88.78	34.71	83.74	269	135	20	17	561.226	9a7f559e77fd914b58cd5e86d78580f65b1168d368f0bd211d3ea02268296159	
2	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(6,6)	60	10	1728	2208	(864, 864)	(384, 1824)	[35]	[(10,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	7.172	5d3e0bb6ad891f9c7f32d531c20c0866415663f5b5a19dd613e8a53927b63474	53.01	2.56	23.19	53.51	7.02	100.0	100.0	18.46	13.11	3	2	1	1	317.883	8f3cc3509bbdedd09cfd612a2105468ee34ff111c6045c1324762766ff661858	96.93	16.81	68.48	61.08	72.42	49.74	87.25	27.52	79.15	233	117	19	17	421.096	d4beee50d138e9e82de094ca67a4abea7987361e52856927dbc0a58076d0568d	96.93	16.81	68.48	61.08	72.42	49.74	87.25	27.52	79.15	233	117	19	17	434.294	d4beee50d138e9e82de094ca67a4abea7987361e52856927dbc0a58076d0568d	96.93	16.81	68.48	61.08	72.42	49.74	87.25	27.52	79.15	233	117	19	17	452.576	d4beee50d138e9e82de094ca67a4abea7987361e52856927dbc0a58076d0568d	96.93	16.81	68.48	61.08	72.42	49.74	87.25	27.52	79.15	233	117	19	17	445.031	d4beee50d138e9e82de094ca67a4abea7987361e52856927dbc0a58076d0568d	
3	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(6,6)	60	10	1968	1518	(984, 984)	(264, 1254)	[35]	[(10,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	8.873	4f4ba321e6c1e383640760ad90f1c853c5f4ae3d5b788f6a9ca4c11b5f4db478	71.6	3.09	30.43	53.86	17.94	89.77	89.29	18.72	29.88	81	41	15	11	550.408	0ec7abc7296612352f40de1a7a75517460036fa303773e92677952a45f7010db	97.26	22.06	71.34	64.11	75.2	53.03	88.38	31.04	81.26	239	120	16	14	492.673	52b8a1f32a9f9a9979443257857b8f37f55e9b71699060b73a58db584acf6bc4	97.26	22.06	71.34	64.11	75.2	53.03	88.38	31.04	81.26	239	120	16	14	501.266	52b8a1f32a9f9a9979443257857b8f37f55e9b71699060b73a58db584acf6bc4	97.26	22.06	71.34	64.11	75.2	53.03	88.38	31.04	81.26	239	120	16	14	485.733	52b8a1f32a9f9a9979443257857b8f37f55e9b71699060b73a58db584acf6bc4	97.26	22.06	71.34	64.11	75.2	53.03	88.38	31.04	81.26	239	120	16	14	481.99	52b8a1f32a9f9a9979443257857b8f37f55e9b71699060b73a58db584acf6bc4	
4	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(6,6)	60	10	1872	1794	(936, 936)	(312, 1482)	[35]	[(10,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	7.878	9ceb80079db17a78260b3fecb972751e2e7119677430c7e784f2f7c21f67f71a	68.43	6.34	52.9	55.55	51.48	59.62	85.83	20.55	64.36	55	28	12	8	495.021	3e0149caf99087a8ea0be1d8a06977aa81c3b85eef37505e46fcb60f4cf051d5	97.76	11.99	72.19	56.6	80.5	32.69	85.03	26.09	82.7	229	115	15	13	545.452	ba639d3dda6809373eb5d5e3749ea03545775a0d4ac15188b43f54d02cda1d3f	97.76	11.99	72.19	56.6	80.5	32.69	85.03	26.09	82.7	229	115	15	13	532.197	ba639d3dda6809373eb5d5e3749ea03545775a0d4ac15188b43f54d02cda1d3f	97.76	11.99	72.19	56.6	80.5	32.69	85.03	26.09	82.7	229	115	15	13	550.3	ba639d3dda6809373eb5d5e3749ea03545775a0d4ac15188b43f54d02cda1d3f	97.76	11.99	72.19	56.6	80.5	32.69	85.03	26.09	82.7	229	115	15	13	552.226	ba639d3dda6809373eb5d5e3749ea03545775a0d4ac15188b43f54d02cda1d3f	
0	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(6,6)	60	10	7176	7176	(1248, 5928)	(1248, 5928)	[35]	[(10,)]	82.61	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	102.835	8be5d2771d4795008e9ad4ed8fbe7da25870f753af6d6b509996a97a8a32161f	82.61	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	101.903	8be5d2771d4795008e9ad4ed8fbe7da25870f753af6d6b509996a97a8a32161f	82.61	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	3	2	1	1	1999.408	996c312dcb57d7a5ad9506e92d2723d037a9e4ab4ecb3c10f7c52a4f046f90fc	98.56	94.96	98.56	97.11	99.34	94.87	98.92	96.81	99.13	483	242	28	26	6836.994	31db79b9e1924724a816aae382dc41a8ee72065d9798029080e55d2baa64e014	98.56	94.96	98.56	97.11	99.34	94.87	98.92	96.81	99.13	483	242	28	26	7178.617	31db79b9e1924724a816aae382dc41a8ee72065d9798029080e55d2baa64e014	98.56	94.96	98.56	97.11	99.34	94.87	98.92	96.81	99.13	483	242	28	26	7091.692	31db79b9e1924724a816aae382dc41a8ee72065d9798029080e55d2baa64e014	
1	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(5,5)	60	10	1920	1656	(960, 960)	(288, 1368)	[35]	[(12,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	6.243	08fe752b0ecb182430f0d99b19ba894a14a225cd609c5149abb45a11ac6b210f	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	6.234	08fe752b0ecb182430f0d99b19ba894a14a225cd609c5149abb45a11ac6b210f	97.14	27.85	77.05	65.41	83.26	47.57	88.29	37.43	85.7	249	125	17	12	1002.989	8b4c2b7f29a8e265b10cd389757713fbfec9018516deeb1cf596e09a9de02bfc	97.14	27.85	77.05	65.41	83.26	47.57	88.29	37.43	85.7	249	125	17	12	565.163	8b4c2b7f29a8e265b10cd389757713fbfec9018516deeb1cf596e09a9de02bfc	97.14	27.85	77.05	65.41	83.26	47.57	88.29	37.43	85.7	249	125	17	12	553.5	8b4c2b7f29a8e265b10cd389757713fbfec9018516deeb1cf596e09a9de02bfc	97.14	27.85	77.05	65.41	83.26	47.57	88.29	37.43	85.7	249	125	17	12	545.605	8b4c2b7f29a8e265b10cd389757713fbfec9018516deeb1cf596e09a9de02bfc	
