Dataseed	minfreq	base_freq	base_freq_min	base_freq_max	fbtype	exec_max_sample_rate	exec_ignore_low_sr_samples	use_training_form	exec_n_ver_n_task_use_aug_dataset_dir_preprocess	nbands	wintime_steptime_dataset_kwargs	use_full_mfcc	test_operators	ontology	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.4)train_accuracy	T(entropy,2,0.01,0.4)K	T(entropy,2,0.01,0.4)accuracy	T(entropy,2,0.01,0.4)macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_specificity	T(entropy,2,0.01,0.4)safe_macro_PPV	T(entropy,2,0.01,0.4)safe_macro_NPV	T(entropy,2,0.01,0.4)safe_macro_F1	T(entropy,2,0.01,0.4)n_nodes	T(entropy,2,0.01,0.4)t	T(entropy,2,0.01,0.4)hash	T(entropy,2,0.01,0.5)train_accuracy	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,2,0.01,0.6)train_accuracy	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.4)train_accuracy	T(entropy,4,0.01,0.4)K	T(entropy,4,0.01,0.4)accuracy	T(entropy,4,0.01,0.4)macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_specificity	T(entropy,4,0.01,0.4)safe_macro_PPV	T(entropy,4,0.01,0.4)safe_macro_NPV	T(entropy,4,0.01,0.4)safe_macro_F1	T(entropy,4,0.01,0.4)n_nodes	T(entropy,4,0.01,0.4)t	T(entropy,4,0.01,0.4)hash	T(entropy,4,0.01,0.5)train_accuracy	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	T(entropy,4,0.01,0.6)train_accuracy	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	RF(0.7,50,half,all)train_accuracy	RF(0.7,50,half,all)K	RF(0.7,50,half,all)accuracy	RF(0.7,50,half,all)macro_sensitivity	RF(0.7,50,half,all)safe_macro_sensitivity	RF(0.7,50,half,all)safe_macro_specificity	RF(0.7,50,half,all)safe_macro_PPV	RF(0.7,50,half,all)safe_macro_NPV	RF(0.7,50,half,all)safe_macro_F1	RF(0.7,50,half,all)oob_error	RF(0.7,50,half,all)n_nodes	RF(0.7,50,half,all)σ² train_accuracy	RF(0.7,50,half,all)σ² K	RF(0.7,50,half,all)σ² accuracy	RF(0.7,50,half,all)σ² macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_specificity	RF(0.7,50,half,all)σ² safe_macro_PPV	RF(0.7,50,half,all)σ² safe_macro_NPV	RF(0.7,50,half,all)σ² safe_macro_F1	RF(0.7,50,half,all)σ² oob_error	RF(0.7,50,half,all)σ² n_nodes	RF(0.7,50,half,all)t	RF(0.7,50,half,all)hash	
1	20.0	fft	100	700	fcmel	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	94.91	37.4	68.7	68.7	69.11	68.29	68.55	68.85	68.83	103	537.521	08008898dfd238752407516c676d5bd2258b6bb8f3e8efee179880fb1d4f0bdf	89.92	34.96	67.48	67.48	69.92	65.04	66.67	68.38	68.25	69	55.882	e70a647f2b055ff0eaad3243cc979bc7bf3e42608ad5e7bc5cd1bd0968301cdd	76.99	38.21	69.11	69.11	69.11	69.11	69.11	69.11	69.11	19	24.099	e3a41b05a2cd8c7f5ce15e67d991d62fe365144d1228fcaa822fae801c60ce90	94.5	35.77	67.89	67.89	67.48	68.29	68.03	67.74	67.76	97	64.473	9c880a0b238883da5da4ef033d97b0a558e7b2f88780dc858bdce360b8756829	89.82	34.96	67.48	67.48	69.92	65.04	66.67	68.38	68.25	67	55.677	bd770690606370c40c059d6fcc21b80d963c0089354c8258626d684c51f1c271	76.99	38.21	69.11	69.11	69.11	69.11	69.11	69.11	69.11	19	23.959	e3a41b05a2cd8c7f5ce15e67d991d62fe365144d1228fcaa822fae801c60ce90	99.71	62.11	81.06	81.06	76.59	85.53	84.15	78.52	80.17	19.51	532120.0	0.0	0.07	0.02	0.02	0.03	0.05	0.05	0.01	0.02	0.02	61520.0	4703.69	("18bd733a51df391fa914ff0eeb76dea1c628b7254221d47cfddfb74f4b8543ec", "3084b55770b13ff0de7d8b6d5f9230e6a5e5145db50ba88a0276ba9ff443893e", "66b7963521e60d898adf403c671ea4eb96904920a502000850c1487645b9c448", "c483e4fee324771522e752defe07d30cef47df1171a3bb25c0d49963dc9784ee", "9e8036a32d35395fc6d66c7fac3f002f274b190b4dd4a1c189a93d6809d0bff8")	
2	20.0	fft	100	700	fcmel	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	93.99	29.27	64.63	64.63	65.85	63.41	64.29	65.0	65.06	101	111.973	02035504d2ad7a9f6255ce5020a7519cf8709f79f2e032ad5128937bacb3ee79	90.63	29.27	64.63	64.63	61.79	67.48	65.52	63.85	63.6	67	43.019	3c3c2a16fb49854012280e6e5d95393445ddb24ee7b294ce6359710dbd112a61	80.04	29.27	64.63	64.63	69.11	60.16	63.43	66.07	66.15	27	25.109	1c77207a6496a24481c5e0dd1451990a3740215326ef5c6473ac462bd1d98962	93.58	31.71	65.85	65.85	65.04	66.67	66.12	65.6	65.57	95	46.591	d9ace249df0945bf008e3c77c3902bc7b5a5ab6fcb9f14183fcf06c1f7d40b55	90.22	33.33	66.67	66.67	61.79	71.54	68.47	65.19	64.96	67	42.219	c1d5d5dc24f6c4b1d51d8026ab5479088a6d009d6ba0a1d74cd7af84ea2d6258	80.04	29.27	64.63	64.63	69.11	60.16	63.43	66.07	66.15	27	25.157	1c77207a6496a24481c5e0dd1451990a3740215326ef5c6473ac462bd1d98962	99.88	54.63	77.32	77.32	75.12	79.51	78.57	76.17	76.81	19.53	531320.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	18920.0	4444.611	("54d4ad6f78e69ca1d8df4d806fe00b0e21ee62cfc4dda7082cd0a1a0bb609956", "6de6f1ba126c4eb3a9c709fa40aa2e5969d42a214a3173e4f046e5f555e867d6", "069f378f574351e6d3f6fcb5b49f9d84a29fa8d843126b4244680547e539e804", "635422ca06afa639a29f86aab94b9c03f741cdcaaac4f92f5e3c42312b1890b7", "2dee4c99cec984fcd954791e856b940579c90d16ea4fc42a48a4e79c14f0b5a2")	
3	20.0	fft	100	700	fcmel	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	94.4	34.96	67.48	67.48	65.04	69.92	68.38	66.67	66.67	121	65.624	8715b5e7fa2a414635688286175b12fd147e4419069e2430e03a984c4f865d4b	89.1	42.28	71.14	71.14	76.42	65.85	69.12	73.64	72.59	81	39.597	8a74be93bf55a6ed4ac74c18242ec8d071ca7448b09fbf18e55e21eeaf21cf17	81.06	41.46	70.73	70.73	78.05	63.41	68.09	74.29	72.73	45	21.561	6544f612b6bd84fa270f1f0867d944ff49fcaa9c33b9fc36ee2f4d7a4a6efd79	93.58	35.77	67.89	67.89	67.48	68.29	68.03	67.74	67.76	113	43.304	3c4ee4cfa557ff38ce2307f2e2d47f964e36845b1e27db871e91f6fb515b3376	88.9	43.09	71.54	71.54	77.24	65.85	69.34	74.31	73.08	77	39.189	26507fccbbe30b772a182e37f7000139961e7891ca1c0a1bb1791d433c7cb70b	81.06	41.46	70.73	70.73	78.05	63.41	68.09	74.29	72.73	45	21.65	6544f612b6bd84fa270f1f0867d944ff49fcaa9c33b9fc36ee2f4d7a4a6efd79	99.9	66.02	83.01	83.01	78.21	87.8	86.51	80.13	82.15	21.02	551480.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.0	192120.0	3921.307	("21e439badcd792e2b47d9484480bfaa136c8302786acb2606a290c30efff0b7d", "21851a096d08e839199c2df4f2435b7a128cb4ecb491d36e4e0d65467fdf6bea", "c59355a15f69f0f8a659812ff7244c15a83cbde5e2a7ee9d13bc937a1e464fa5", "141dbcb8232e6fd76f28254fce8dca2d202bd5cbf6df968193c426c7eced5649", "7e9165d73fd22db7a07a7c3976b115271b7a1f29efddb0fcb6b4e866d0c61e84")	
4	20.0	fft	100	700	fcmel	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	96.23	43.9	71.95	71.95	73.98	69.92	71.09	72.88	72.51	111	54.194	5181571a12c5e0085699def9c856714e9b1e40df369b3be07f79d7ccb906a7f1	90.94	40.65	70.33	70.33	70.73	69.92	70.16	70.49	70.45	73	46.389	4307f5ad082f3e30d4a1891ada486a89c70fad1e8543e9c657a35ce4f0b5d047	75.36	31.71	65.85	65.85	69.92	61.79	64.66	67.26	67.19	15	17.829	5bc7a929ccc1bd57e57b6224def7f5019956aee1efb1bb7d744929353c3888bd	95.42	46.34	73.17	73.17	76.42	69.92	71.76	74.78	74.02	105	49.17	831764f80ce7c2d60fb767d89c3724890fac294e00d99a7c1aec49c0e44d7b9e	90.84	42.28	71.14	71.14	73.17	69.11	70.31	72.03	71.71	71	45.754	75f566b919b1b861e67449b047d1eecbd833b2cbffcf3699cddeda330eebcc88	75.36	31.71	65.85	65.85	69.92	61.79	64.66	67.26	67.19	15	18.007	5bc7a929ccc1bd57e57b6224def7f5019956aee1efb1bb7d744929353c3888bd	99.74	62.11	81.06	81.06	78.05	84.07	83.1	79.29	80.48	20.84	537080.0	0.0	0.11	0.03	0.03	0.02	0.08	0.07	0.01	0.02	0.01	64920.0	3828.35	("0b32128ccaee062a3fa6d972ff7d6757427d5cac95c55565745671c5614691c3", "f90a572b2937e9a2dcc2d12634aa604658fcdd65f0312c2f3e7f0e19526d40d7", "eb26414fab23107b2625b008377ceac02d6e3ae725d4ed8acb60c1193f991e03", "7ff6c0415e6e81d3bf509750d9937f2e6bc6f221dfa9c9dc86199d9b7215476e", "f5ed4b2aca0663ac7bf574833f7c6fbffab12e99acbc52e4de6f91d739081be2")	
5	20.0	fft	100	700	fcmel	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	91.85	41.46	70.73	70.73	65.85	75.61	72.97	68.89	69.23	85	63.7	adaa667cfbcb3ed77ebd9d18aa6b947c7abfc963134aadbed9fc85759165e772	86.05	43.09	71.54	71.54	67.48	75.61	73.45	69.92	70.34	49	41.265	241b6abb9b40599fed3cb63fb84c04530c4a6280ba7efb084d492745069bc005	76.58	39.02	69.51	69.51	72.36	66.67	68.46	70.69	70.36	19	20.515	ff9b3d8f1518afdec3b8fef138c8136451393f5c51167e28c9a5cd7aaf730e74	91.55	38.21	69.11	69.11	65.04	73.17	70.8	67.67	67.8	81	63.278	c3b3b62bc5a50b10ae864d3b099f43983a321fc40b2d339d75e9bc28a86d06e5	85.85	41.46	70.73	70.73	66.67	74.8	72.57	69.17	69.49	49	42.135	dc3d2a8faab518e8dcbcf26cfa6ed07f3a7174b30378756c07d39606808f5e26	76.58	39.02	69.51	69.51	72.36	66.67	68.46	70.69	70.36	19	20.95	ff9b3d8f1518afdec3b8fef138c8136451393f5c51167e28c9a5cd7aaf730e74	99.78	64.72	82.36	82.36	79.51	85.2	84.34	80.62	81.84	20.94	540240.0	0.0	0.02	0.0	0.0	0.01	0.03	0.02	0.0	0.0	0.01	228080.0	3860.269	("3c012fba64689e05a57d9baf5037421e9a0a0bdb46152d9cd21490664f55d746", "0101c1d1016e1160839d7c527b78521b27c534c208bc1656bb081239f23f60f2", "23b48d5899c5e76478059253c30d73bcc6e15f444757c530a2a5197fe299527b", "818c08f6e4e99fe7b46a0852d94516b2b6db7b02f29366c0c6b3067781ca51b6", "b6fe988e9a7e4e324d2698edfda8626eafb4eed7cd6352e1c303ffa95328f8ce")	
6	20.0	fft	100	700	fcmel	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	93.48	39.84	69.92	69.92	70.73	69.11	69.6	70.25	70.16	91	59.151	a72e902fb07529542820cea4d90ca0f56d8de8790cdd317197ccf80751c29530	90.22	39.84	69.92	69.92	71.54	68.29	69.29	70.59	70.4	63	54.888	9c4a3c2965d9d1eae0f550b15b828359934653624ee1af1a30d588835091521a	74.13	32.52	66.26	66.26	65.85	66.67	66.39	66.13	66.12	11	18.766	3a0391d27c47863d01d5a37f9a6949f14d330065f0b6b5f72c86406160506b49	93.28	39.02	69.51	69.51	69.92	69.11	69.35	69.67	69.64	85	57.526	53da18c4ea7f522b6dcd0ca20b35b4a144c9d4426262c9588c394b422a096e5d	90.02	39.02	69.51	69.51	70.73	68.29	69.05	70.0	69.88	63	55.141	0815ce4fe70cf8d0989f1a005b09475624c0a35924a37fc6b098b73ad701a313	74.13	32.52	66.26	66.26	65.85	66.67	66.39	66.13	66.12	11	18.602	3a0391d27c47863d01d5a37f9a6949f14d330065f0b6b5f72c86406160506b49	99.86	58.54	79.27	79.27	72.36	86.18	83.97	75.72	77.73	19.55	530520.0	0.0	0.13	0.03	0.03	0.04	0.04	0.05	0.03	0.04	0.01	115520.0	3944.135	("20fc35405790d42132fa8454aa2ea17b939b17c8cc732b512f53775d70299ae5", "0085dd2d009d6c232e40b1319643d1a6bb701e2649d84cf31e46381228f55fd8", "a5ca1a0e4c4725304086b86340171120f34e5893a405e1d40ba251956e2de654", "65fe9fa7085587a23148f762fdfb711c10292df2f80d8428deb862b7852f717b", "d4ecab39cb6b54d10019d9322ffe0dbb975d3d03aa32a444bff639595462083c")	
7	20.0	fft	100	700	fcmel	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	93.08	39.02	69.51	69.51	64.23	74.8	71.82	67.65	67.81	85	46.596	47d2d36731df51c9c1edb32ace96c068d622b047f3dbc89027743ca4995d31cc	87.88	41.46	70.73	70.73	66.67	74.8	72.57	69.17	69.49	53	43.605	dfa056988b019049acee17f13858aef0e68851bfbf4daaffe8ed92eaa8c7265a	79.43	34.15	67.07	67.07	60.16	73.98	69.81	65.0	64.63	29	27.539	15caa6ef43614343205089610b25ae1b0af4dfbe1fac554a2a5075997fd11a58	93.08	36.59	68.29	68.29	64.23	72.36	69.91	66.92	66.95	87	44.263	b8260bc8f7c00263109aba16c4418a35384988db24f577bb4899afb879cff43f	87.68	40.65	70.33	70.33	65.85	74.8	72.32	68.66	68.94	53	43.74	d2df59be1a475efecd8c2f68cc8ad378591aa958fde6f4f98b750e16ddf468ed	79.43	34.15	67.07	67.07	60.16	73.98	69.81	65.0	64.63	29	28.024	15caa6ef43614343205089610b25ae1b0af4dfbe1fac554a2a5075997fd11a58	99.78	64.55	82.28	82.28	75.61	88.94	87.31	78.51	81.0	21.2	548080.0	0.0	0.01	0.0	0.0	0.04	0.04	0.04	0.01	0.0	0.0	219120.0	3902.389	("1f44d1c85449e98bd9b75a6ac12cc0a0fa86f8580677eb576de2c3d59777442b", "55303bed2c03b00ef21b717a3d448c9b631ce8a79098abd2340fe0399561aea9", "52c25c81cbd5e6d13ff8cf8349a537d18031afd09abf874b863dc58b4878b394", "6790f43be5db51db85cfc892e848c77f093c4c5b2dad4781dd404c0e3fa72f79", "91c5a88d747fad23b7e7cd7daa87dfe7ee30fab5156b2b96a466e74aad22a2a8")	
8	20.0	fft	100	700	fcmel	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	93.08	54.47	77.24	77.24	79.67	74.8	75.97	78.63	77.78	113	100.639	8f496c14f002210f953cead3b345cd15d00fe0bc8319b8387cff4de1aee0dbb9	87.88	53.66	76.83	76.83	74.8	78.86	77.97	75.78	76.35	73	97.311	02a50bfda4b163dc4e342c11a30303502bb3e391ac9254f9f1ee04e13dee2bfc	78.62	51.22	75.61	75.61	77.24	73.98	74.8	76.47	76.0	23	78.79	c028caa485bc7f09923e68087502c9ebbb80162c17d501c8b60c1d6e94ab2005	92.57	55.28	77.64	77.64	78.86	76.42	76.98	78.33	77.91	101	99.253	03be571651e7df65d0cbec68e3a8e5abb43856ddeaf440a4bc56e1324695e299	87.88	53.66	76.83	76.83	74.8	78.86	77.97	75.78	76.35	65	96.002	8083204b33a1cfa06f66940d58f7e2a7dd4b228c0fb52de17e69bbf750b31732	78.62	51.22	75.61	75.61	77.24	73.98	74.8	76.47	76.0	23	78.122	c028caa485bc7f09923e68087502c9ebbb80162c17d501c8b60c1d6e94ab2005	99.86	70.08	85.04	85.04	80.49	89.59	88.56	82.12	84.32	20.51	549400.0	0.0	0.08	0.02	0.02	0.03	0.02	0.03	0.02	0.02	0.0	116600.0	3902.168	("267dfa49cc8794cd0a388b9f580f092df25a96f9b8bb4feaa49d914e9da9d2c7", "f8ddec39aa30ade7012013ca2483b646d4100aaa5bd0824a1af4d450448aa45e", "b51e9048dff6067025a28e3500817652bde36b537ad55fe2958fde014616c756", "79d9de8e9132c0a6efd942adb464eae8183f54e94616825e6cc39ac3cb9ee7c5", "a0ee21233c53e4f0ed474786c1a54e1d8a9b70b0e82668c9fd32e21583d9b399")	
9	20.0	fft	100	700	fcmel	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	91.96	42.28	71.14	71.14	73.17	69.11	70.31	72.03	71.71	91	97.507	e96e1c51220b42739183f9dd71ac3cae12c2ff0a519f47ea7390ce20343bbcee	88.49	43.9	71.95	71.95	74.8	69.11	70.77	73.28	72.73	63	96.793	d2c543143994e42d94e0c4ae0d8b26aa306b716e252f1ed9236ff65639130ff0	76.99	35.77	67.89	67.89	69.11	66.67	67.46	68.33	68.27	19	73.562	f60e5addeaa65f93c6efb851503535223f01c5edfeb996efa024c9125e0acbfc	91.04	42.28	71.14	71.14	72.36	69.92	70.63	71.67	71.49	81	96.275	20307ea99bac982f5921be4e644b6a7d57041d3a34fb91a284e7ab3a0e0fcbe6	88.09	43.9	71.95	71.95	74.8	69.11	70.77	73.28	72.73	61	98.82	bbdee6b059dacb514cab86ad7df8d829d5cbf8501dd08c5a3c4de113529cd2da	76.99	35.77	67.89	67.89	69.11	66.67	67.46	68.33	68.27	19	73.469	f60e5addeaa65f93c6efb851503535223f01c5edfeb996efa024c9125e0acbfc	99.78	63.09	81.54	81.54	77.4	85.69	84.41	79.12	80.75	20.41	537960.0	0.0	0.13	0.03	0.03	0.02	0.04	0.05	0.02	0.03	0.01	320480.0	4149.997	("4d9da7399fb54b0213981a37c4e9c6fe65f69384d05de4ac5f43ce5c3289ea19", "32115692f5ecbd40918f4ab1127802c1f6ea2b3d0bfd19be2ff8970ef938a721", "24d29a0f24fcff458665d653eccdf34073a0752f65049bcd2e654c2fe90e4e97", "cebe469d751932a2083bc3d093cf0dae35f491818aa2785962ac0c3528345bd7", "690ac9ea12eb74b41c2032109ac249f472956b7aa1ee4814c77724f81cd68b25")	
10	20.0	fft	100	700	fcmel	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	93.58	47.97	73.98	73.98	73.98	73.98	73.98	73.98	73.98	97	50.471	2aab9df43cad2433362945cbaaeca43793b7ff3250444eb081b0e102da0e3afe	91.55	47.15	73.58	73.58	69.92	77.24	75.44	71.97	72.57	85	45.882	cd3ea38f78a7b7381c9b154fde07a4812bac641ac1acace33d2d2d1dbc5970dc	80.24	37.4	68.7	68.7	65.04	72.36	70.18	67.42	67.51	35	28.6	7ff82b045bb36e6f1c50e4ffe5ba050328c84571a4196db4505e82b682411d1c	92.97	46.34	73.17	73.17	73.17	73.17	73.17	73.17	73.17	93	47.187	a80ad809ec9e71cada006b51ef385e6ec7d0fcfc3982455d3a26e33aa3852f9e	91.14	46.34	73.17	73.17	69.11	77.24	75.22	71.43	72.03	83	45.191	a6f8074c4d47441a9696ecd177d9597df113743241e9d84b3f69cda2b6b5f82b	80.24	37.4	68.7	68.7	65.04	72.36	70.18	67.42	67.51	35	29.017	7ff82b045bb36e6f1c50e4ffe5ba050328c84571a4196db4505e82b682411d1c	99.69	56.91	78.46	78.46	73.82	83.09	81.42	76.05	77.41	19.35	531520.0	0.0	0.05	0.01	0.01	0.03	0.06	0.04	0.01	0.01	0.01	44920.0	3934.797	("cc19b75a188ca7dee87e81452278f3b4857ae94d253b5a72128383cb066df8dd", "d57777d31a49fbe4007d5e739cd10d000ccb725263bb12cde7ef9fae01c709ff", "a630954db98c99583a19465a07911510a016208aafaaffeb15c4833fdf1315d4", "273bb54e617ab3a7c7dec406b06cab35cfced06c65fe862ecb6b7a00dc7223b8", "2c389d644c48ac2e5481cb91206a03f338095b185e508bee081e074c20f7ea00")	
1	20.0	fft	100	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	93.18	47.15	73.58	73.58	81.3	65.85	70.42	77.88	75.47	77	486.779	01bcfed71e340c6d457b0e94afc47578390981decd053a29fc1c11d007b031bf	91.24	48.78	74.39	74.39	80.49	68.29	71.74	77.78	75.86	61	91.484	000cf8a21c4dbc4cea209868786133cb0772762ffd342a6edc4483c37fe7067c	80.35	46.34	73.17	73.17	78.05	68.29	71.11	75.68	74.42	17	17.705	4b3b85f8f14c7887b1e4e97111c9725e9522fb6bb841d336bc72b37cd8436274	92.87	47.15	73.58	73.58	80.49	66.67	70.71	77.36	75.29	71	91.678	eb3b6e4bd98d42ed55d64dbb46d9049260e99f26ad51274fd5e45376e2dfa8e7	90.94	48.78	74.39	74.39	79.67	69.11	72.06	77.27	75.68	59	91.932	b7e8596944d79dc9b1f7bcacb0cc658c58df3f42be1a5ef5a028f3763b8c5c06	80.35	46.34	73.17	73.17	78.05	68.29	71.11	75.68	74.42	17	17.671	4b3b85f8f14c7887b1e4e97111c9725e9522fb6bb841d336bc72b37cd8436274	99.27	61.3	80.65	80.65	79.51	81.79	81.37	79.97	80.43	17.76	502120.0	0.0	0.03	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	324520.0	4746.602	("3a1e7ba5ccbd7090b8efe2f7e5075077f38206aafeced217ef86163f58ae2d18", "2548e644b45341c7d9cc2ffaf56621a87734c4fb3e7be356bcbb35d529f83191", "aa69f7fc78e758d3ae9b0dac17386f6c43db6c023ce9eadfaeec13bc46a2df25", "877cb40335f8fd767cd544920f6a7b05e4109f7f1fa30f283c410063bbd907e6", "e5871e3b03a52b5511639f2a52bbfa90659a6a13ffa4a9193e0105c25bc2d366")	
