Dataseed	fbtype	exec_max_sample_rate	exec_ignore_low_sr_samples	use_training_form	exec_n_task_use_aug_n_ver_dataset_dir_preprocess	nbands	dataset_kwargs	use_full_mfcc	test_operators	ontology	T(entropy,2,0.01,0.4)train_accuracy	T(entropy,2,0.01,0.4)K	T(entropy,2,0.01,0.4)accuracy	T(entropy,2,0.01,0.4)macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_specificity	T(entropy,2,0.01,0.4)safe_macro_PPV	T(entropy,2,0.01,0.4)safe_macro_NPV	T(entropy,2,0.01,0.4)safe_macro_F1	T(entropy,2,0.01,0.4)n_nodes	T(entropy,2,0.01,0.4)t	T(entropy,2,0.01,0.4)hash	T(entropy,2,0.01,0.5)train_accuracy	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,2,0.01,0.6)train_accuracy	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.4)train_accuracy	T(entropy,4,0.01,0.4)K	T(entropy,4,0.01,0.4)accuracy	T(entropy,4,0.01,0.4)macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_specificity	T(entropy,4,0.01,0.4)safe_macro_PPV	T(entropy,4,0.01,0.4)safe_macro_NPV	T(entropy,4,0.01,0.4)safe_macro_F1	T(entropy,4,0.01,0.4)n_nodes	T(entropy,4,0.01,0.4)t	T(entropy,4,0.01,0.4)hash	T(entropy,4,0.01,0.5)train_accuracy	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	T(entropy,4,0.01,0.6)train_accuracy	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	RF(0.7,50,half,all)train_accuracy	RF(0.7,50,half,all)K	RF(0.7,50,half,all)accuracy	RF(0.7,50,half,all)macro_sensitivity	RF(0.7,50,half,all)safe_macro_sensitivity	RF(0.7,50,half,all)safe_macro_specificity	RF(0.7,50,half,all)safe_macro_PPV	RF(0.7,50,half,all)safe_macro_NPV	RF(0.7,50,half,all)safe_macro_F1	RF(0.7,50,half,all)oob_error	RF(0.7,50,half,all)n_nodes	RF(0.7,50,half,all)σ² train_accuracy	RF(0.7,50,half,all)σ² K	RF(0.7,50,half,all)σ² accuracy	RF(0.7,50,half,all)σ² macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_specificity	RF(0.7,50,half,all)σ² safe_macro_PPV	RF(0.7,50,half,all)σ² safe_macro_NPV	RF(0.7,50,half,all)σ² safe_macro_F1	RF(0.7,50,half,all)σ² oob_error	RF(0.7,50,half,all)σ² n_nodes	RF(0.7,50,half,all)t	RF(0.7,50,half,all)hash	
1	fcmel	8000	false	stump_with_memoization	(1,false,"c","KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	93.26	26.67	63.33	63.33	60.0	66.67	64.29	62.5	62.07	55	21.539	5453fb094bf1d79bf44e18c7a85ebe28f7b9c0e02657d20b875910d0c518fe1c	89.61	22.22	61.11	61.11	66.67	55.56	60.0	62.5	63.16	39	7.519	0c951eecc136aff3691fad6bb6d4301525d4b6fec96fd4b29bb2ea7d00b3b1ac	87.08	15.56	57.78	57.78	53.33	62.22	58.54	57.14	55.81	35	7.22	d9c68aeedda05a6e0b1ee3fc3bdeeecd5f21de9f69e82ab16d8e95d8d5cfdc27	91.57	26.67	63.33	63.33	60.0	66.67	64.29	62.5	62.07	51	7.652	bb504c0282d8dcd58bee967dd79643e924cb79e57822882686e16affbf673826	89.33	22.22	61.11	61.11	66.67	55.56	60.0	62.5	63.16	39	7.288	7b4563e1fecfac1bf4381f20f8be53f6a228059c6794cb9d8ab47bc0277474be	87.36	11.11	55.56	55.56	55.56	55.56	55.56	55.56	55.56	37	7.187	b71522da056ed76d6d3ff8ed1db7c1a785d1d079ce652e592991ad4e5d8061b2	99.55	39.11	69.56	69.56	68.89	70.22	69.92	69.25	69.38	31.63	282280.0	0.0	0.43	0.11	0.11	0.05	0.24	0.16	0.07	0.09	0.02	121520.0	152.595	("1916a556cb6117b9efd6f347161dde6ca5790d6f3b04898523ca090b48d07d3d", "a7ad15cf1ff24b3419e8262d03f8bf9a6dac716863eb6c01662c0692b23a1d43", "b7cd8a7fc96423ab274eeba129edb13c08c1f525b70096b142a2e15f5e792687", "c67c07f7ac7d5fb54d0529ceec03392e7e2618d4752b9201b4d56f07d68df310", "1ba0153e7e087816daa75caff29fe6c5346bdb0a7d40f7c4b4d5d7136fca6309")	
2	fcmel	8000	false	stump_with_memoization	(1,false,"c","KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	96.35	37.78	68.89	68.89	71.11	66.67	68.09	69.77	69.57	77	6.969	d7339da13c3b385d69850c797dcd6b6f450dc3ced99bae66a70499d7b3134ad8	89.61	28.89	64.44	64.44	68.89	60.0	63.27	65.85	65.96	47	5.988	25c0d9e041d95a925ff35579453e74bd0500aec7341fa15c1f09a45fa177e9b6	85.11	26.67	63.33	63.33	71.11	55.56	61.54	65.79	65.98	37	5.56	23c89227f374134550eb2c40b55a1d777b1fdc8ab3b3a31e9495913b0ed68800	94.38	31.11	65.56	65.56	64.44	66.67	65.91	65.22	65.17	69	6.514	e145137bc1a83f5df549a9c2501522ab73544bff08288dd9f2301d451bbfce31	89.89	26.67	63.33	63.33	68.89	57.78	62.0	65.0	65.26	49	6.109	2d61f2a0967e12e336ac8b970d53cff0aac955f4049f4548a9401fc210c07216	84.83	24.44	62.22	62.22	68.89	55.56	60.78	64.1	64.58	37	5.641	6431d796173c7a43778cfc0c7b84436b0eb290d5107b3dcef1ebad735f289080	99.78	42.22	71.11	71.11	72.0	70.22	70.8	71.5	71.37	31.14	283200.0	0.0	0.91	0.23	0.23	0.24	0.31	0.24	0.24	0.21	0.0	206800.0	140.572	("33de101a1f11d943874a11cca79bea0809a4dbfc8ea5aee372a6b09be988468c", "80f43ee55c4be0088f1f6f6b9ec8e9c79a61ebd75ad420c4536ee9b8ff77446b", "41fff8179de8b69db37a2724cdb21c30282912c96a0edabcf61c9cd541af09f4", "fd0f17f412edfc13869c1f5ea60e9317222d02acba0b7097f7de113e79d0ac4f", "4a32a5c3fa62e8abdc5908fdca140c6a29432d9f237124d68738597b6d2301e7")	
3	fcmel	8000	false	stump_with_memoization	(1,false,"c","KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	95.51	22.22	61.11	61.11	62.22	60.0	60.87	61.36	61.54	75	8.352	3a8cac973b8eab36590a5b8114c5efaba4293f663a9b6e12657150b57cb9a8fc	89.61	28.89	64.44	64.44	73.33	55.56	62.26	67.57	67.35	49	6.714	d0e50fe1c10c811a5bb8d25a71ab94d3105d9937d921eb26ffdd2c284024efa4	79.49	22.22	61.11	61.11	73.33	48.89	58.93	64.71	65.35	25	4.619	59a4aa3715010375644dcfb46985f282f8803b88bab1f37352165706234ab22d	92.7	11.11	55.56	55.56	53.33	57.78	55.81	55.32	54.55	63	7.474	cb9fb79fe0823dacfe20016899877c3217c4228323383195f1cc8a869a393fe9	87.92	17.78	58.89	58.89	57.78	60.0	59.09	58.7	58.43	45	6.408	f8a7a5a855bf842be6414bbc95f1660a4e9b4576c6dd65c850cd56909df03719	79.49	22.22	61.11	61.11	73.33	48.89	58.93	64.71	65.35	25	4.104	59a4aa3715010375644dcfb46985f282f8803b88bab1f37352165706234ab22d	99.66	29.33	64.67	64.67	66.22	63.11	64.21	65.24	65.16	30.09	283600.0	0.0	0.13	0.03	0.03	0.18	0.04	0.02	0.07	0.06	0.01	104200.0	131.273	("144ebf4ebc228d34069c8ab4b93205965a07fc946f67d4eec46f4d9686af13eb", "0e26f224a031f4391ded47df08369f8db29e5da81c3cf0edb9eb59e0d2274fd1", "a432f6d6c5fa1c8b664f9aa92b23fdd92326c349b168ee0311f21433ad496aa7", "e5e78da65aebe3a726cf348969cc4fdc0fec245b8779135a585a254f40233363", "75bc38210b06c5578bf264d22a2468a102dba141e71d5f5b61038a6f70d8afa3")	
4	fcmel	8000	false	stump_with_memoization	(1,false,"c","KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	96.91	37.78	68.89	68.89	71.11	66.67	68.09	69.77	69.57	71	4.83	cfa4baf1d6d1943febf1d51aa428b0edc4b976d147663985108a5ac0fa32131b	92.42	40.0	70.0	70.0	71.11	68.89	69.57	70.45	70.33	53	4.709	50ae99c7405edaa03a95a0e4dd557c23a6d987b1e940b6b54b2cad8ef2223335	82.3	40.0	70.0	70.0	77.78	62.22	67.31	73.68	72.16	27	3.389	6eb6e2b4e418eb56960af04f5fd8449a0354b358f9c5351f94d8cb185e9e97ef	94.94	42.22	71.11	71.11	77.78	64.44	68.63	74.36	72.92	65	4.576	3fe21535e778a384de9806fb41150ede11aec33c3ee326d90295d6fbbd17cadf	92.7	42.22	71.11	71.11	77.78	64.44	68.63	74.36	72.92	57	4.849	df84031378aaf13a2c9fa1fee132e48709eac319f80d73c3a374c4a67dfb4a9d	82.3	40.0	70.0	70.0	77.78	62.22	67.31	73.68	72.16	27	3.502	6eb6e2b4e418eb56960af04f5fd8449a0354b358f9c5351f94d8cb185e9e97ef	99.89	42.22	71.11	71.11	69.33	72.89	71.84	70.49	70.54	31.85	279520.0	0.0	0.44	0.11	0.11	0.26	0.06	0.09	0.15	0.15	0.02	29520.0	142.005	("43ceec44548b6afeaeac34a9972589eea42de7adba3aa824d111ae74cc7e7356", "0a92497d0a573c433f32a9b77c68da5d3ff4e45fd7a3357dbe1fdd10a981f40b", "6e7a4051fc398db461c8ca2cda49c6f1f0a96deb5567cbe1b560bcdfb689d868", "93606e5c0fc5f0496d0666dd79839329e0a73bd99767abf00d8a1a1826898f37", "42ad25d4569ad2a41cc73efa84f133dec96183f95cbf640b6dca30387839a2bd")	
5	fcmel	8000	false	stump_with_memoization	(1,false,"c","KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	95.79	22.22	61.11	61.11	55.56	66.67	62.5	60.0	58.82	73	4.172	c645f026c8e31ed66b2e11633c0452a031e4aa389a4544caff343634cc2d2590	90.45	20.0	60.0	60.0	60.0	60.0	60.0	60.0	60.0	57	4.284	cb64792c7e6fef05aa9a91dfd8d98639cbf7ae7e33364bcf5b39e8f207290fd9	82.02	6.67	53.33	53.33	51.11	55.56	53.49	53.19	52.27	29	3.164	a6b60dbfca93c4f3fb488085b108ad08aa922f683fe90e6a14c3bc0cc7b973fd	92.13	24.44	62.22	62.22	48.89	75.56	66.67	59.65	56.41	61	4.149	d2e4c229df26307e225b33ab8a3514527e5b1286278503b19f652c209755bdd8	88.2	15.56	57.78	57.78	51.11	64.44	58.97	56.86	54.76	47	4.245	37c995668c62cf1cc8c2c9a7bb5c3830cc435c6545aa0a193f8752319e93a0c5	82.3	6.67	53.33	53.33	46.67	60.0	53.85	52.94	50.0	31	3.161	de641a671cad587862c5cad5e31fde33987f738a4d0a8372b8c5b95312839077	99.78	44.89	72.44	72.44	65.78	79.11	75.97	69.8	70.48	33.67	288920.0	0.0	0.08	0.02	0.02	0.01	0.09	0.07	0.01	0.01	0.04	171320.0	134.939	("41c1866a7f7254e2e9c5d68b5b659d56f8585ebb3ec689519c879f37aaac3d86", "1efaee7ec9786819c91bfa2245274a54c6e6aa377e17c5e6756c09271947ef86", "eab2f7ce172067f6f490c21db2b1567cf8fd9e37619d87cb360df64d48ea9ef3", "08adf58fe05448c948e1c320986eb1cde89306b8b9b3646f1fb407390c6b1e92", "ee7fcc9d3a129412bb313702f271c62bdfa74db07ebb6ff6e8a72171c10804c3")	
6	fcmel	8000	false	stump_with_memoization	(1,false,"c","KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	97.47	24.44	62.22	62.22	53.33	71.11	64.86	60.38	58.54	73	12.987	d0b4079741783e060c6e47f8ba453fc340ee8529ecbeb0a5ad82ca0a5616f538	94.1	20.0	60.0	60.0	48.89	71.11	62.86	58.18	55.0	57	12.783	3ebdf52a31924c5fdbcfb6e597aed742eeace79d422b7375468b974bb130a7d9	84.27	28.89	64.44	64.44	64.44	64.44	64.44	64.44	64.44	31	12.169	69e69452665c82bade16a87945e2d9506300df2b79450b8c7879d2c8c013c91c	95.22	28.89	64.44	64.44	57.78	71.11	66.67	62.75	61.9	65	13.004	1b91c218bd5e591ef758ee119ca593facaf148089d63523d1fd156f983fd4484	93.26	22.22	61.11	61.11	51.11	71.11	63.89	59.26	56.79	55	12.869	52acb391bb5ca1240770ba4a547ad32f1cdd8bdb8db48163bffa8af0ebcb141a	84.27	28.89	64.44	64.44	64.44	64.44	64.44	64.44	64.44	31	12.161	69e69452665c82bade16a87945e2d9506300df2b79450b8c7879d2c8c013c91c	100.0	47.56	73.78	73.78	77.33	70.22	72.27	75.61	74.69	34.29	287360.0	0.0	0.11	0.03	0.03	0.03	0.14	0.06	0.02	0.02	0.03	88080.0	133.395	("f3fb1b0eb494adf1c7e4755a8fbae37bb5b1d06cfe77abfe5cedb43df640443c", "14bc054dc588858031284cee6c8ea0f8ce6cd1456d0d4c189a9b22da7c75a8e3", "e9ec54aa38ed44c81121f6c64b9534718ae4b1ddcc4019ab583509b6cd0af168", "cfc1297adb455d61e75161fecdeae7cb2d07e84ede905fd347b730accafb3dee", "d0aab4ac61d920685c9f46ccf8a74cacaf98a812a4e90eaafc0b0b875f018644")	
7	fcmel	8000	false	stump_with_memoization	(1,false,"c","KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	92.13	20.0	60.0	60.0	51.11	68.89	62.16	58.49	56.1	57	5.941	3956857959ca8e73ab24ea501ed3bd12c4844df270bf96445ff19b12c263b648	89.61	17.78	58.89	58.89	48.89	68.89	61.11	57.41	54.32	41	5.646	433d08b7ea2015f49be2229f9e049925d831b92d36a50dfeeeb96370efc43eef	79.78	28.89	64.44	64.44	68.89	60.0	63.27	65.85	65.96	21	2.514	48a58da3e114aa0e2371b58f669217610f2fbd0a2f32cf21b690dd08ff0f40bf	91.57	8.89	54.44	54.44	46.67	62.22	55.26	53.85	50.6	53	5.947	a641f6f5b682738e106c0b2a22d632101d5ca2b86289ad24746c4673249842f7	89.89	6.67	53.33	53.33	46.67	60.0	53.85	52.94	50.0	47	6.233	1da7b7bcf52c7dd27552526b85bd3a7d82873cb04749f8df556a94c1a41deb6b	79.78	28.89	64.44	64.44	68.89	60.0	63.27	65.85	65.96	21	2.957	48a58da3e114aa0e2371b58f669217610f2fbd0a2f32cf21b690dd08ff0f40bf	99.83	31.56	65.78	65.78	55.11	76.44	70.0	63.04	61.66	32.19	282080.0	0.0	0.33	0.08	0.08	0.16	0.04	0.1	0.07	0.13	0.03	48120.0	132.263	("584d6f2ff9ea69d07a50bd41da27e00312db4bbabf5fd5573e1b4ea780ac3ef6", "c9646ed7234c5b52f12137c36e93b41667311bc07e49d1f3ae2967c0e8d913a2", "d9d87c2db8c29bf5935b1b739f158a6d3c66db568b261b7e448fef8eb556ba8d", "36298608646865da1cbcefa5e6f30e033f5e3882053328cc6b0b786691760200", "097dee1b21e6b9393561db0b58bc55e8fbc76352abd8b406fb0cd714402670b1")	
8	fcmel	8000	false	stump_with_memoization	(1,false,"c","KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	92.13	22.22	61.11	61.11	55.56	66.67	62.5	60.0	58.82	51	3.487	ccaa31cf5018f9b393eb1666e88d3d90317135922dc744120068fd57b645f4eb	89.33	17.78	58.89	58.89	53.33	64.44	60.0	58.0	56.47	43	3.048	1f85676178954101af5d650f4ee48b5b6b3a8378f4341cfb458fdcabda69f045	83.43	15.56	57.78	57.78	51.11	64.44	58.97	56.86	54.76	31	2.716	bf7444da70638d6842ad1294659707bff53051eba939f7b03f64e139c757db76	91.29	20.0	60.0	60.0	55.56	64.44	60.98	59.18	58.14	49	3.532	92f7ae308c1bfcc4f57a3830d868c7d53143ee2957be2668e013fe1b71b1eaf0	88.48	15.56	57.78	57.78	53.33	62.22	58.54	57.14	55.81	41	3.024	c2a542b7688503af69fbc323217ce9e16ff9f3279bf1a86faaa16ab167ce82ec	83.43	15.56	57.78	57.78	51.11	64.44	58.97	56.86	54.76	31	2.729	bf7444da70638d6842ad1294659707bff53051eba939f7b03f64e139c757db76	100.0	41.78	70.89	70.89	71.11	70.67	71.07	70.97	70.98	31.97	288400.0	0.0	0.6	0.15	0.15	0.17	0.53	0.25	0.11	0.12	0.03	147800.0	126.066	("7f979f629cc05001c34a3f484248d6055cab4f992aedb507adafb3fb43aff24c", "a05e9a9dca76cf1ab7556c004fd00242b176e6d205fe668bbe1ee33cade85a71", "78f668255c7b6476b49437f45c27f3357a970338ab81a88672f0636d7fee0e78", "eafd27d748909cd9986cacda7c5100e9d3b5d46b65527afa1894f12d32695256", "d15f742781a6094ed64297151a85111834f5d19b28c277949eb41f89bb83adc0")	
9	fcmel	8000	false	stump_with_memoization	(1,false,"c","KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	94.38	42.22	71.11	71.11	71.11	71.11	71.11	71.11	71.11	59	7.314	98d52e564c6b53db098ed157600fbd1e66182a5fdd0e08f0993b6968d7eaadf3	91.85	42.22	71.11	71.11	73.33	68.89	70.21	72.09	71.74	53	7.081	75cec04b42734fab94c5bcb546a25a99d78dc6f45b97a78b945da868578bfe6e	85.11	42.22	71.11	71.11	77.78	64.44	68.63	74.36	72.92	41	7.057	9d27f6cc280e54a4aa12caf85e6138ceb8c900e700a175f15faa9aca08836585	91.85	46.67	73.33	73.33	75.56	71.11	72.34	74.42	73.91	55	7.055	cdfed78a4e77172c4888e09c17adda1b3d256eb9d75ccb45f2929c6fb8bb8faf	90.45	44.44	72.22	72.22	77.78	66.67	70.0	75.0	73.68	51	6.997	edd0701744eb811820ae0806abc9fba5d012d3790e4fd6d8ce71d6a05f0fa8f0	85.39	40.0	70.0	70.0	77.78	62.22	67.31	73.68	72.16	43	7.154	e3e39efb229c0f04e6be75b4208a952276d257683f268d2951c7346c362ea8d0	99.83	50.67	75.33	75.33	73.78	76.89	76.21	74.58	74.94	32.25	288120.0	0.0	0.26	0.06	0.06	0.08	0.14	0.09	0.06	0.06	0.05	252320.0	129.407	("47608f982975f7971688d6b22d162c5b1ee2e97631b9dbf935296a4dfd5721e6", "6c2e30edc259c31c25fadb7cd57c9f7f7c2b8e1dc575d9f074d72a5dde5f18a3", "9b2b73c32d528d2c234b7110955261c404e9bf21195bd476a5996c9f128b753c", "e1ce884be84483ffdd563ae18caa58594facf283e34304e7af9f68d8e9a30e13", "8796d0518eb61a4450647fe913b25ea13a27ec86228f942e76d5b0d6c13ec95d")	
10	fcmel	8000	false	stump_with_memoization	(1,false,"c","KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	94.66	22.22	61.11	61.11	64.44	57.78	60.42	61.9	62.37	59	5.016	8061ad4441bd82ff28fed60c40c9fe6c87aa4739cb93bc77bf622f6df2d24691	91.85	20.0	60.0	60.0	60.0	60.0	60.0	60.0	60.0	53	4.995	88bde8980327b2c8ab4a7c954d6798c967ae852d4d3a0b1f7bff1ed6425301a6	78.09	22.22	61.11	61.11	60.0	62.22	61.36	60.87	60.67	17	1.955	1c127d513380b65fabac6a2033d42e1ee7371fe333fecc81f32c3b3a5051507d	92.98	31.11	65.56	65.56	66.67	64.44	65.22	65.91	65.93	61	5.335	9479357575d0246d1e1a2a03933989b7c59598111c8075daeff20d31a7fcbd53	90.45	28.89	64.44	64.44	64.44	64.44	64.44	64.44	64.44	51	5.352	dd70a36303c937da0c1efa81574853b26c98adb2f38b95d367669ea2e4f21b8b	78.09	22.22	61.11	61.11	60.0	62.22	61.36	60.87	60.67	17	2.005	1c127d513380b65fabac6a2033d42e1ee7371fe333fecc81f32c3b3a5051507d	99.55	35.56	67.78	67.78	66.67	68.89	68.18	67.46	67.38	31.48	286760.0	0.0	0.44	0.11	0.11	0.22	0.12	0.1	0.13	0.14	0.01	77880.0	128.133	("b09719fb30c1b04a6bc1c9da98362c407166443a63c1a514e392f83d491b8a30", "9360f1a502e4ae1cb359274bc9ba51a452421021729688e98726df70755b2439", "27cace582a40ed0e5a12410853fa1a0c323f62d50aa7a599c32720cbbf1ca7ad", "15e80460997065c1c267b1d4f925f89fb14fa5e5452dd2355e37303c4d7422de", "44f0d2137cc8dab2959697dfd515d5fa2dcf85f34e5729c5a2d7f8e5c9d9d722")	
1	fcmel	8000	false	stump_with_memoization	(1,false,"b","KDD-norm-partitioned",["Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	94.28	29.82	64.91	64.91	61.4	68.42	66.04	63.93	63.64	193	374.273	59d2d92ede3bf8d8afe9b392cdf88e74cdf674154670e91a89da2deabb27b099	90.84	30.41	65.2	65.2	59.65	70.76	67.11	63.68	63.16	143	91.668	032b4475cdb9e009a89c6bf5f189f2d3493d160e775e5bf8fb5cb9c05761090c	79.55	27.49	63.74	63.74	59.06	68.42	65.16	62.57	61.96	63	86.477	1a9c9bb9183182d078ebbd69357888b3b2f355e325e07421ff8a2518c6acbb99	92.89	30.41	65.2	65.2	61.4	69.01	66.46	64.13	63.83	177	93.146	88c95fbafa65d35843e2289d31686fb4d3c3267376232ed2b6351d89cf18da23	90.76	30.99	65.5	65.5	60.82	70.18	67.1	64.17	63.8	145	90.574	b7dbd28470a58934bdd80794672c361217f13fc311422d5dc97655e4b5d2755d	79.4	26.9	63.45	63.45	59.06	67.84	64.74	62.37	61.77	63	85.987	633d243029d3f3c98117ebbbd933be98ba96716db35124d60804b2cbbe1e33a2	99.91	51.11	75.56	75.56	70.18	80.94	78.65	73.12	74.14	25.04	878520.0	0.0	0.07	0.02	0.02	0.09	0.03	0.02	0.04	0.03	0.01	605320.0	5974.808	("d77543bf9f9bdb01c1920c26c7a1833de023b86ffd2b2aa1b2161cbc88365a63", "5cb5ae6674ac1f0c5b22c77d8fa5996e10420bde4f1fee20b690758bbba246ae", "ddeab7b9609dc2604323eb2330e7d0b6db6ead5ef990bea35d2c1f6a6d7fbf9f", "f8ac2ab1384358ff71a92c8a13079d62fb190f444bbadf382e0ed2d7ed7c031f", "48ea1ea2241424106508acaa99e962e5e7d3f5c55f5d347e5571c6b0f9e81424")	
2	fcmel	8000	false	stump_with_memoization	(1,false,"b","KDD-norm-partitioned",["Normalize","RemSilence"])	30	(50,45,30)	false	TestOp_80	IA	94.79	42.69	71.35	71.35	70.18	72.51	71.86	70.86	71.01	187	136.768	2775c2deb8d19323cca236ac6b458b55b76f77de45a86055b5742b7d42719bb1	88.27	40.35	70.18	70.18	66.08	74.27	71.97	68.65	68.9	105	73.78	f8f5f475626e9717a4d93a1cf4d937f92745ef5cefdb232e7bd1d3d5294d668f	82.18	38.01	69.01	69.01	60.23	77.78	73.05	66.17	66.03	59	72.418	dd92b97291644363366b8c6e695ec475d87a100203e7ff2c9ec9a88ad5c2bf79	93.62	39.18	69.59	69.59	68.42	70.76	70.06	69.14	69.23	169	76.423	56090d95495640562cb7ab29556ef016224bddf79eda7543c4d469af22e8995d	87.83	40.35	70.18	70.18	66.08	74.27	71.97	68.65	68.9	99	72.661	aa7d18736c92e72e57247b0e812d7b62bfebcd1f00df8504668362031e5ffd4e	82.33	38.01	69.01	69.01	60.23	77.78	73.05	66.17	66.03	61	71.377	79ee3a1c54e4a5d7eb5e57decb2b0288518aa97e8b71ee17787ce286ec717e11	99.87	51.11	75.56	75.56	72.98	78.13	77.0	74.28	74.93	25.3	881520.0	0.0	0.19	0.05	0.05	0.01	0.11	0.09	0.03	0.04	0.0	122120.0	6146.704	("0d857a2d08354126c8dd9a995719e53e5744f417796e65a8567514cc2495c6cd", "b0076bc0128fc7984c63ca6ed2f19a0512fa668dc87776ec9a338e5be20da2c0", "1735a252581918b0354051dd6db38bf83acd752fcb258da9a308b375d81c07d4", "1f11c5b097273919cc3452d05c2ac5003887b45a53c376de5cdb452b5310648b", "28976bfdd6b02fa54bf7a32b3810371c1d5b49f9cea866f0111baa3543f16aa4")	
