Dataseed	Params-combination	T(entropy,2,0.01,0.4)	T(entropy,2,0.01,0.5)	T(entropy,2,0.01,0.6)	T(entropy,4,0.01,0.4)	T(entropy,4,0.01,0.5)	T(entropy,4,0.01,0.6)	RF(0.7,50,half,all)	RF(0.7,50,half,all)σ²	RF(0.7,50,half,all)t	
1	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),20,(50,100,75),false,TestOp_80	(96.9, 14.29, 57.14, 57.14, 67.86, 46.43, 55.88, 59.09, 61.29, 41, 55.233, 372a4b618ffe8857801dbb42f788db9b69c942a114eaec9f70bbb8d2e69b5ea8)	(91.15, 10.71, 55.36, 55.36, 64.29, 46.43, 54.55, 56.52, 59.02, 31, 8.258, c3aceb1f3d50e76c97a5117865948d7197daf44651f65acb8745a1a0185b2bed)	(80.09, 10.71, 55.36, 55.36, 75.0, 35.71, 53.85, 58.82, 62.69, 13, 7.106, 6a466c91d3e4579947e4e10aaf311dbe6898a6777dce2c824585ad50e541b49e)	(96.02, 17.86, 58.93, 58.93, 67.86, 50.0, 57.58, 60.87, 62.3, 39, 9.557, defb18127040a50c439cd1322f12b7c65de4efe00108f87b3470a66ebdffcc62)	(90.27, 14.29, 57.14, 57.14, 64.29, 50.0, 56.25, 58.33, 60.0, 29, 8.247, 868b6677d27b2070287aa74f8081375509a45d6555dae4acb998188e7f17bfb3)	(80.09, 10.71, 55.36, 55.36, 75.0, 35.71, 53.85, 58.82, 62.69, 13, 7.014, 6a466c91d3e4579947e4e10aaf311dbe6898a6777dce2c824585ad50e541b49e)	(99.73, 45.71, 72.86, 72.86, 77.86, 67.86, 71.05, 75.28, 74.22, 34.81, 166160.0)	(0.0, 0.6, 0.15, 0.15, 0.03, 0.57, 0.25, 0.06, 0.08, 0.02, 70680.0)	(291.449, ("313814348e63bc76ec78ea65aae9206d2f4f1972d86b9b9f518e20c4bc128e55", "7c14574cfdd71cf7a337c690068fa249a193d69591f8c6733430cf8d348b9a90", "0ab38539aae2d71a3251a5877cc6526db61520c034a71b72435159651beda2cb", "7978328ed46a6c4a2ef59ce7a98714cec9d9e92fa21e5c299af6ab8c77048eaa", "01f58e5aea8982a9d040ec38ca179a2928b17706846d5c9370029408a2e01a52"))	
2	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),20,(50,100,75),false,TestOp_80	(95.58, 21.43, 60.71, 60.71, 71.43, 50.0, 58.82, 63.64, 64.52, 37, 15.357, 949a00bc5cda5c0d450fc8f4a249c6f05bf4e070f22de7ff774f5974c44a177f)	(94.25, 21.43, 60.71, 60.71, 71.43, 50.0, 58.82, 63.64, 64.52, 33, 9.435, 4b0d14e10010aebd85927b1f2915618276c014a8eddc65b22a6148756f881bdb)	(85.84, 10.71, 55.36, 55.36, 57.14, 53.57, 55.17, 55.56, 56.14, 19, 9.036, 84314e7f62892542c5d9c7f53ff22f0d136ddf370917178478ee37e0a5ec453b)	(93.81, 17.86, 58.93, 58.93, 67.86, 50.0, 57.58, 60.87, 62.3, 35, 9.437, da57f3a7b8de3f4a087a979047c9016ecafde609fa3d3ac3e556191d4dc244c6)	(93.36, 17.86, 58.93, 58.93, 67.86, 50.0, 57.58, 60.87, 62.3, 33, 9.425, f647df904211aab8897e45707b91c2e64a93f132f5ed5d2e48eded3ce042b4e9)	(85.84, 10.71, 55.36, 55.36, 57.14, 53.57, 55.17, 55.56, 56.14, 19, 9.038, 84314e7f62892542c5d9c7f53ff22f0d136ddf370917178478ee37e0a5ec453b)	(99.73, 25.0, 62.5, 62.5, 65.0, 60.0, 61.94, 63.2, 63.38, 35.66, 166600.0)	(0.0, 0.45, 0.11, 0.11, 0.22, 0.22, 0.1, 0.13, 0.12, 0.04, 55000.0)	(251.424, ("05a0e746fe67068f876e329613021a56e8c61adeb70c2066affbbe3f6c2c6916", "edf75a15dc4cb5a727fb6d06643bfb3b759dac712b97fbae06aafb1007b9a49f", "1ae31f99a57a6dc0975760d34de156aa5b805d4c4c6c9d1ecd3d43b5a3e6e039", "d8b2d2d718fe9be32f56750d01570d1f111677747d41e3a5ad98bd548845a816", "f1f354cb97ae4d6ffdbbedf51f26a4019a23e91721fc0324303312553bc0758c"))	
3	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),20,(50,100,75),false,TestOp_80	(96.9, 0.0, 50.0, 50.0, 46.43, 53.57, 50.0, 50.0, 48.15, 39, 9.836, a404478c27a5b0cb7cbcfdf5c639457b7267b387772f2f468a2e1de019ea1abe)	(92.04, 7.14, 53.57, 53.57, 42.86, 64.29, 54.55, 52.94, 48.0, 29, 6.272, a1ec12718bad547a59f9b3c4f9d92b05f572b66bc643cd7640389882d41e7cc5)	(80.09, 7.14, 53.57, 53.57, 46.43, 60.71, 54.17, 53.12, 50.0, 11, 5.333, 7dbdbccb020f4683f4aa961323efaddba7a70b1516eed871ca3c3d995299dabb)	(94.25, 0.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 39, 6.44, 8b231f9f356f493d34b1a52dbfb4f606dce9410139f52f315a82d32db760f410)	(91.59, 0.0, 50.0, 50.0, 42.86, 57.14, 50.0, 50.0, 46.15, 31, 6.338, 59ff7d0d97564a0d73f3e80f08a5418b066bd9a40b005ee8a8432db40822f388)	(80.09, 7.14, 53.57, 53.57, 46.43, 60.71, 54.17, 53.12, 50.0, 11, 5.378, 7dbdbccb020f4683f4aa961323efaddba7a70b1516eed871ca3c3d995299dabb)	(99.56, 36.43, 68.21, 68.21, 56.43, 80.0, 73.83, 64.76, 63.94, 33.95, 162320.0)	(0.0, 0.15, 0.04, 0.04, 0.09, 0.04, 0.05, 0.03, 0.06, 0.07, 27520.0)	(260.17, ("4b52b798948fdb14d9cd4e568602c25c31862fd7a3d656c8ffb7d821dd50fc23", "1509614208d41d9463ea9b2a3846e54086a583847f15d1e159cb9911c1b963ef", "d2980fa5a531d6daf025159d8961710f7f0316bbbd1e8b00a88da4024f34f2a5", "92668c317bb5fa3a75a118529edf00a093476a78666f51d0c2c22934279f8cec", "eec20d1d583af60bc04572829fe5cb783b8ebd7d58a9b328e8753f400e5062a4"))	
4	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),20,(50,100,75),false,TestOp_80	(97.35, 17.86, 58.93, 58.93, 67.86, 50.0, 57.58, 60.87, 62.3, 45, 16.203, ab35a813ebc0691b27edea60f358efc1c06f2174249d03bee08aa00b3a988963)	(86.73, 28.57, 64.29, 64.29, 75.0, 53.57, 61.76, 68.18, 67.74, 21, 5.76, a79ac6f95218777db8f69fe3c8ec87f1c3c8b2f73547826d19394347543bf77a)	(74.34, 21.43, 60.71, 60.71, 82.14, 39.29, 57.5, 68.75, 67.65, 7, 2.638, 19cafa1a940645f309f25aabe4763b7a32f32678f1c6a21453116198075ea996)	(94.25, 21.43, 60.71, 60.71, 64.29, 57.14, 60.0, 61.54, 62.07, 41, 6.609, 8f17130065579107582232e9e4dcdd6f1edcde24e319c99a2a21637fe65d0dc2)	(85.84, 28.57, 64.29, 64.29, 71.43, 57.14, 62.5, 66.67, 66.67, 19, 5.631, e4d528ebca621f28c5dd91fc3e13a185e28b3b39950117fb94e2db1416ca8440)	(74.34, 21.43, 60.71, 60.71, 82.14, 39.29, 57.5, 68.75, 67.65, 7, 2.638, 19cafa1a940645f309f25aabe4763b7a32f32678f1c6a21453116198075ea996)	(99.82, 52.14, 76.07, 76.07, 77.86, 74.29, 75.16, 77.14, 76.46, 31.8, 165320.0)	(0.0, 0.42, 0.11, 0.11, 0.22, 0.09, 0.08, 0.16, 0.12, 0.08, 34520.0)	(264.999, ("7b9b435974dc9f79e4fe0b443a23dd5d72e26aa58c660d35e8db66412c6f7569", "479b6c57363c0b219df08c351bc519070198ddd54e20bfaf17bb6d7f7fa904dd", "5589966e18860e5c93cb2fef163f6a42f83f7413914f77144add23b9967a6fc9", "86554cb6e4c749e6e5c4f0f20f3f3f554c0e5eaf150187bb8abefc721bae8f61", "5b18b4206797cee2706b98766840ec87fdc4ed4a86c9c613264a0ff51db32781"))	
5	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),20,(50,100,75),false,TestOp_80	(93.36, 21.43, 60.71, 60.71, 64.29, 57.14, 60.0, 61.54, 62.07, 35, 11.384, 5e6245a26c8cc504ecf49122794fa0f687adb69951dffeb972fb88a15f3cd0aa)	(90.71, 21.43, 60.71, 60.71, 67.86, 53.57, 59.38, 62.5, 63.33, 29, 9.446, eecfd9a3e7dda986398cdb3e0e10af6afda5a8eebace5d77311627c5c8dd4cba)	(86.73, 25.0, 62.5, 62.5, 64.29, 60.71, 62.07, 62.96, 63.16, 23, 9.271, 97164ca098cdd434db7936de2bc833f871a52f1fd6611c09f4c8182f9fc371a1)	(93.36, 10.71, 55.36, 55.36, 57.14, 53.57, 55.17, 55.56, 56.14, 35, 9.584, 042527c1342d924e6ea07f657aa630979cbfabc8f030ac28d83bb7fa0f24ad9c)	(89.82, 17.86, 58.93, 58.93, 64.29, 53.57, 58.06, 60.0, 61.02, 29, 9.435, 574cf631374254f72b0a3fc0cce980785226d453656289a9f263338bad3f3e43)	(86.73, 25.0, 62.5, 62.5, 64.29, 60.71, 62.07, 62.96, 63.16, 23, 9.26, 97164ca098cdd434db7936de2bc833f871a52f1fd6611c09f4c8182f9fc371a1)	(99.65, 38.57, 69.29, 69.29, 61.43, 77.14, 72.83, 66.93, 66.5, 34.25, 167960.0)	(0.0, 0.85, 0.21, 0.21, 0.66, 0.17, 0.21, 0.28, 0.35, 0.04, 49680.0)	(251.449, ("35b77a27c71e1acc8e9f1c49669e594f51e92f9b26562c285bb1cefac0ba0a45", "c5d82c8b64e7373d1f7e135f92b9b605610b21893f29cd56a7d338528e93e62d", "dd77346c30254bb1cd7f14e159bf1d641e396735fd3764f3d25860f6a7ef58c2", "38bda27a1c75aa205cf4a6c890ca5f3c64f0fec37440288d623b1240e7091d8d", "e853abbe2234a09edc35f598babb5e6edb4941e3e8dc4670aa400addb6997585"))	
6	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),20,(50,100,75),false,TestOp_80	(96.46, 7.14, 53.57, 53.57, 53.57, 53.57, 53.57, 53.57, 53.57, 33, 8.369, d919c6fc0a70967ed8e69962955d07773a45fb61aa606dc6ea16343f6db91b63)	(93.36, 7.14, 53.57, 53.57, 53.57, 53.57, 53.57, 53.57, 53.57, 27, 7.447, 1accaa4db7e3ddf71e08c560b0b1ee8212a4ddf05a37d9717f533d9bc7d67d28)	(82.74, 25.0, 62.5, 62.5, 75.0, 50.0, 60.0, 66.67, 66.67, 13, 6.707, 304afd8e5e4e22a8f9ae75d21c589570d1b3f3feab4715da2cd772c4bc195370)	(96.02, 14.29, 57.14, 57.14, 60.71, 53.57, 56.67, 57.69, 58.62, 33, 7.537, 8828e8b08d1ef38929b7b95caa4514074416d0ad4464291bd4d5998070c723ba)	(92.92, 14.29, 57.14, 57.14, 60.71, 53.57, 56.67, 57.69, 58.62, 27, 7.414, 77d86dba446c9103f15d4e218e943c15983a71b89df6b064b7c0547209e5578f)	(82.74, 25.0, 62.5, 62.5, 75.0, 50.0, 60.0, 66.67, 66.67, 13, 6.742, 304afd8e5e4e22a8f9ae75d21c589570d1b3f3feab4715da2cd772c4bc195370)	(99.56, 37.14, 68.57, 68.57, 66.43, 70.71, 69.71, 67.79, 67.9, 29.65, 160080.0)	(0.0, 0.55, 0.14, 0.14, 0.17, 0.54, 0.28, 0.09, 0.11, 0.04, 89720.0)	(277.644, ("254a79741d0b785b40d0d709cf1217c84f85e2427012e3cd06e3f2b28466be94", "ca86a433235b5955268fe506e878521a4d06e38bfef8b5ce033341ad3b485f64", "60faba24af45a2d67613f6fad060ae07917a354a26d5caaca4ecf9f45cc9eeee", "da43704a2df798150074de391d972623b36dad8b853e15f027a79e25ba1120ee", "22ae499f5ab3ebbf216aa64b0276d9d559482854c250ed23ee4d488482260ee5"))	
7	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),20,(50,100,75),false,TestOp_80	(96.9, 32.14, 66.07, 66.07, 67.86, 64.29, 65.52, 66.67, 66.67, 41, 14.177, 1e1577f33829107f642dddd944dd799ed4a51c872fc2cd0680a79a9a7927d3fc)	(93.36, 39.29, 69.64, 69.64, 78.57, 60.71, 66.67, 73.91, 72.13, 35, 12.27, b7db0d59bd711052815314576cf661f8b1873a3fda087a3fdf3dfecb76b6d6a8)	(89.82, 39.29, 69.64, 69.64, 78.57, 60.71, 66.67, 73.91, 72.13, 27, 12.269, d856e9fdc6650f5210da82a9e647aac14bfc0d4c6732b4576912cec02603f375)	(96.02, 35.71, 67.86, 67.86, 67.86, 67.86, 67.86, 67.86, 67.86, 39, 12.469, 53fd1e2a0633e39452cfce25fb472eb5104bed2e4e5b5f69054fc5c78aaceb8c)	(92.92, 39.29, 69.64, 69.64, 78.57, 60.71, 66.67, 73.91, 72.13, 33, 12.263, 1a844f0572ac3a2988c37d883b5f3743df01846ef5c7cea05fc6a3563a05bd20)	(89.82, 39.29, 69.64, 69.64, 78.57, 60.71, 66.67, 73.91, 72.13, 27, 12.0, d856e9fdc6650f5210da82a9e647aac14bfc0d4c6732b4576912cec02603f375)	(99.65, 43.57, 71.79, 71.79, 80.71, 62.86, 68.63, 76.69, 74.09, 33.45, 164880.0)	(0.0, 0.15, 0.04, 0.04, 0.17, 0.36, 0.07, 0.07, 0.03, 0.08, 81920.0)	(268.394, ("c22329a0845cb585dfce8ed88cdbf6030f9d89fef50d0dfec9361727711cc514", "cd0721f1a73d612ecbd5eeda7bf15599d4f89c70878e7ca1dd1b992f97d24d77", "5a861ea6f830f012314664b44110ff360529e5d543f0ec9fa028afb476ab4a8e", "1b7837f9cd71283a9cadc27fc88fb6329c09554367179ebec9fcf77f47f30513", "80ad7bd03d005732748c847be27c84164fd8c910907c0e249dbc51a335918cd6"))	
8	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),20,(50,100,75),false,TestOp_80	(95.58, 10.71, 55.36, 55.36, 50.0, 60.71, 56.0, 54.84, 52.83, 37, 13.754, 8356498345606294d05cc2ed6c1486918bd846d039aac94f21d54d78e6ccf57b)	(90.27, 10.71, 55.36, 55.36, 39.29, 71.43, 57.89, 54.05, 46.81, 25, 11.836, 7d5ee7100057724f06473a090d645442a5efd4664b6680291f5fe3d7094521eb)	(76.11, 17.86, 58.93, 58.93, 53.57, 64.29, 60.0, 58.06, 56.6, 9, 6.944, 1dedf2e21e432fb3b7bfbfa5896363fa89d763eb08e5bbcf22ac9414ae60a79e)	(96.02, 17.86, 58.93, 58.93, 46.43, 71.43, 61.9, 57.14, 53.06, 39, 12.11, 01ac4beb537da2647c933fed8173f4d5460a65c95328d1361044058f33bf1418)	(90.27, 10.71, 55.36, 55.36, 39.29, 71.43, 57.89, 54.05, 46.81, 25, 11.869, 7d5ee7100057724f06473a090d645442a5efd4664b6680291f5fe3d7094521eb)	(76.11, 17.86, 58.93, 58.93, 53.57, 64.29, 60.0, 58.06, 56.6, 9, 6.961, 1dedf2e21e432fb3b7bfbfa5896363fa89d763eb08e5bbcf22ac9414ae60a79e)	(99.56, 19.29, 59.64, 59.64, 47.86, 71.43, 62.45, 58.03, 53.96, 33.98, 166000.0)	(0.0, 0.74, 0.18, 0.18, 0.8, 0.19, 0.24, 0.17, 0.47, 0.02, 103800.0)	(260.024, ("9c4fcd8f347f348f40f3964bc9c69e7d93cd3331ae404d4061be5fb33405178b", "8af82f982d9cdc1d5323f4b86ca69ca1bc269971885bc84ca5dc27dcf20f83f2", "c2a8e08aded8c760b8cfcf92620cb68687fdce05c914c3d3251222c914017833", "0c889b2cbf695a16b27f20870fd9da5c22f5445cc1fb3b2de1f76f8aaee6758f", "0eace98582fda6c8eaa277a9ad39ca504a8a6b60982e075868b132d21289b3ef"))	
9	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),20,(50,100,75),false,TestOp_80	(93.36, 25.0, 62.5, 62.5, 57.14, 67.86, 64.0, 61.29, 60.38, 29, 11.037, f0f0ca32c251147a29103c5320e4d60019f2b9f6ae99b21d067207acb196f568)	(92.48, 21.43, 60.71, 60.71, 60.71, 60.71, 60.71, 60.71, 60.71, 27, 9.698, 4c2db7736dd73ed5f1cdfb09d5921ff672dfd70e9ef708753cc074abf243f8fc)	(76.11, 14.29, 57.14, 57.14, 64.29, 50.0, 56.25, 58.33, 60.0, 7, 6.82, b8e321af664bd7634eea43e67766d6824c37532a65f8ea7ee1d576e9d1ff89a5)	(91.59, 21.43, 60.71, 60.71, 60.71, 60.71, 60.71, 60.71, 60.71, 27, 9.69, 643e7ea3d6cdb8617696e27cc0206ea3ee11c09eda9fd16828f65374a1091caa)	(91.59, 25.0, 62.5, 62.5, 64.29, 60.71, 62.07, 62.96, 63.16, 25, 9.784, 128c691eefda05b7c8eba612d3445d353dcfd48dbb207d9ee2bdc47915ae7c39)	(76.11, 14.29, 57.14, 57.14, 64.29, 50.0, 56.25, 58.33, 60.0, 7, 6.732, b8e321af664bd7634eea43e67766d6824c37532a65f8ea7ee1d576e9d1ff89a5)	(99.91, 37.86, 68.93, 68.93, 68.57, 69.29, 69.13, 68.8, 68.82, 28.5, 162080.0)	(0.0, 0.29, 0.07, 0.07, 0.09, 0.17, 0.1, 0.07, 0.07, 0.02, 66120.0)	(264.369, ("38bdcc1f16350359dda88b271527b5e33804ae402f02c8d48c9b7f9e2d276aef", "c1769e43ee13931d034c404b504f74a40fd74e8f95e86eedd0a9d0d286021412", "56d125695aafcd4e87a9f15afaf685e1867238f7112f908d96f06e716f5390ff", "024230962356b82eee3dbfd7a8a2e20572d34be67c425eb4bb7678fb176285a2", "9603730c011c472372acdbf03ed18f1776a436fd7473ce73e0ea5e1d195ee009"))	
10	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),20,(50,100,75),false,TestOp_80	(92.92, 21.43, 60.71, 60.71, 57.14, 64.29, 61.54, 60.0, 59.26, 33, 13.161, d2e4daa99e44dea3b08921e5bd9a1de23ff63675ea790a72f7d0c13a4800c3d5)	(91.15, 14.29, 57.14, 57.14, 53.57, 60.71, 57.69, 56.67, 55.56, 27, 12.271, 27de3e735ee84d49becd85f82dc81c447ddd3c322337a12907f61638df4ce4e7)	(88.05, 17.86, 58.93, 58.93, 53.57, 64.29, 60.0, 58.06, 56.6, 23, 12.1, 86a586fc7d3bfbc6b7f176943343ef2f128b6dea36e357c70004cd73987cc71a)	(94.25, 28.57, 64.29, 64.29, 60.71, 67.86, 65.38, 63.33, 62.96, 37, 12.566, edc815a544c4c1211f0d29141b128390ddda19a8595ad283a4277acd9a9e1c82)	(92.04, 21.43, 60.71, 60.71, 53.57, 67.86, 62.5, 59.38, 57.69, 29, 12.381, cba4baf91704ea10b484eb9c8b1413e4473c1a790e7a3a016e1b98de8f3be1b2)	(88.05, 17.86, 58.93, 58.93, 53.57, 64.29, 60.0, 58.06, 56.6, 23, 12.148, 86a586fc7d3bfbc6b7f176943343ef2f128b6dea36e357c70004cd73987cc71a)	(99.91, 50.0, 75.0, 75.0, 66.43, 83.57, 80.6, 71.52, 72.55, 35.61, 167720.0)	(0.0, 0.51, 0.13, 0.13, 0.48, 0.42, 0.31, 0.15, 0.19, 0.01, 42920.0)	(260.178, ("837d49cdc24d32e262c5f92fa280babc439b9b165459e941b5f0574eeade4715", "ce890a22ddb66e0dbf38ea8a61b703d69c6e307726e93d69d304d9a39b091f9a", "76670cdba3e755d856b4adff48520b250113bc1893d40956e8f1594cad11ad4c", "3e56c8a03c7bf0f20fa52b531098d97978e3175065270b04ddf295858221bedd", "dbb3424b4e6fa597339c5fd896ab5d19fdd47cc93a1ec6c107a302f18515d5e6"))	
1	8000,stump_with_memoization,(2,true,"b",["Normalize"]),20,(50,100,75),false,TestOp_80	(90.7, 45.45, 72.73, 72.73, 72.73, 72.73, 72.73, 72.73, 72.73, 9, 42.435, 00312bf516dd60cd50ff9f934c448b444c3f0e542b4d90fe0e5b17fbadf9da6c)	(87.21, 45.45, 72.73, 72.73, 72.73, 72.73, 72.73, 72.73, 72.73, 7, 2.301, 2d66c5a6fcbddf537b9e13e06d6e1735b12d8d106a9c50bbaf2511e1fefa7432)	(87.21, 45.45, 72.73, 72.73, 72.73, 72.73, 72.73, 72.73, 72.73, 7, 2.254, 2d66c5a6fcbddf537b9e13e06d6e1735b12d8d106a9c50bbaf2511e1fefa7432)	(89.53, 45.45, 72.73, 72.73, 72.73, 72.73, 72.73, 72.73, 72.73, 9, 2.95, 2d72328a16da107773db0530ce354a07f8247aaf3510c97a2176a83f85259582)	(87.21, 45.45, 72.73, 72.73, 72.73, 72.73, 72.73, 72.73, 72.73, 7, 2.244, 2d66c5a6fcbddf537b9e13e06d6e1735b12d8d106a9c50bbaf2511e1fefa7432)	(87.21, 45.45, 72.73, 72.73, 72.73, 72.73, 72.73, 72.73, 72.73, 7, 2.498, 2d66c5a6fcbddf537b9e13e06d6e1735b12d8d106a9c50bbaf2511e1fefa7432)	(99.53, 65.45, 82.73, 82.73, 76.36, 89.09, 87.64, 79.37, 81.39, 20.27, 65000.0)	(0.0, 0.58, 0.14, 0.14, 0.66, 0.17, 0.12, 0.27, 0.25, 0.1, 51000.0)	(157.789, ("137648e8eef1622d8eb29e78a2aee62aa0b0c9d3a3431d64e75f22f57afb0ddd", "53d6992667a943613ae5e74169cd3f320ab0e9bc00f71d1421c468924ff789c9", "68621e628d7cf80166e19166dad66bfa7b1ea7f068797e7375a6cbdf51de85ac", "ddcee5dc13abc9cf289d820271b98a91ed68919f12f43ba1caed737c13f5c12c", "5ce35747e241123808d57031f6249c4abaff46a456c25a7701f241f53840514f"))	
2	8000,stump_with_memoization,(2,true,"b",["Normalize"]),20,(50,100,75),false,TestOp_80	(95.35, 54.55, 77.27, 77.27, 63.64, 90.91, 87.5, 71.43, 73.68, 15, 55.24, ebfd1f7e3eec672647a6e4437b3a0f365162e3f522b58023ef88743273f3a606)	(90.7, 81.82, 90.91, 90.91, 90.91, 90.91, 90.91, 90.91, 90.91, 9, 5.489, 4d04c419ab2527ca85144b38cd04d5fbf5b432d395af5b6e03d6f3a48d914ed0)	(79.07, 63.64, 81.82, 81.82, 100.0, 63.64, 73.33, 100.0, 84.62, 5, 3.384, 113eac5012911a9d11de64085ed0011f415273652e89a8c082043172347d1735)	(95.35, 81.82, 90.91, 90.91, 90.91, 90.91, 90.91, 90.91, 90.91, 13, 5.599, c4d25f1b3d4f528b2d44a32da8e750698e19d05722f4a97b2c0299c58df3a888)	(90.7, 81.82, 90.91, 90.91, 90.91, 90.91, 90.91, 90.91, 90.91, 9, 5.421, 4d04c419ab2527ca85144b38cd04d5fbf5b432d395af5b6e03d6f3a48d914ed0)	(79.07, 63.64, 81.82, 81.82, 100.0, 63.64, 73.33, 100.0, 84.62, 5, 3.122, 113eac5012911a9d11de64085ed0011f415273652e89a8c082043172347d1735)	(99.77, 74.55, 87.27, 87.27, 80.0, 94.55, 93.56, 82.69, 86.19, 23.32, 69960.0)	(0.0, 1.4, 0.35, 0.35, 0.58, 0.25, 0.35, 0.38, 0.43, 0.04, 8080.0)	(171.685, ("89aa4c6bcc28f8446c86952d06641aff61f6a9cb14360cc9b732aa7877ea57b2", "b348711de0dec7ba2702134d967e62217c1412e22a9f0515fa7a4101e584eb15", "a8c093fc570c12a0b877cc3ddc8b7c263172bcb2cf11ecb96087d9b9281bffe4", "7550dcbc91724e410f41b338e639d1e185f53505fc9e6954238e70cef6daef2f", "a04ce02c373eba6c3f6df070b756e2d428572c4a501092a1fa955991dc9af71a"))	
3	8000,stump_with_memoization,(2,true,"b",["Normalize"]),20,(50,100,75),false,TestOp_80	(93.02, 0.0, 50.0, 50.0, 18.18, 81.82, 50.0, 50.0, 26.67, 11, 8.742, 76d829c6a0e76ab331a97a41daa00b68abead3923599c8dac6db5b2e8eac89db)	(89.53, 9.09, 54.55, 54.55, 45.45, 63.64, 55.56, 53.85, 50.0, 7, 1.839, 5b709d7230acb78cd8598008b29d2010c4fe43de522f63506f5d04c47bfa632a)	(77.91, -9.09, 45.45, 45.45, 45.45, 45.45, 45.45, 45.45, 45.45, 3, 0.11, 75fc3cc9073090a0d190147d449f40e6588e05cdbb3b34a5805423a574e46d6e)	(91.86, 0.0, 50.0, 50.0, 18.18, 81.82, 50.0, 50.0, 26.67, 9, 3.103, ae2142bcec86fa35bedd38240e34407377106cb0a58ae7c90ee0d887f950d712)	(88.37, 9.09, 54.55, 54.55, 45.45, 63.64, 55.56, 53.85, 50.0, 7, 1.841, 1644144d9c4d6cd82682642c044b44d08710dd1e9157be9e4a0c7b29bd92f506)	(77.91, -9.09, 45.45, 45.45, 45.45, 45.45, 45.45, 45.45, 45.45, 3, 0.11, 75fc3cc9073090a0d190147d449f40e6588e05cdbb3b34a5805423a574e46d6e)	(99.77, 40.0, 70.0, 70.0, 50.91, 89.09, 82.43, 64.62, 62.63, 23.49, 62560.0)	(0.0, 0.66, 0.17, 0.17, 0.66, 0.17, 0.23, 0.12, 0.52, 0.07, 15480.0)	(126.782, ("0c317da3a6bdb3e074aad30cdb118d07197561857919a70ce64521736eb46d9e", "cbc40a0d94ad5d3d348ea5b897c4defe0abf12701e10849eb658e16abaeee53b", "f3449e1493f596d3d27c465cdfaca954a67b8e4d12a115925cecfc8d5601c2bd", "9f971c7f5b9c7981c1e373f980ac622d33e3b4a8f752f93918cbbe5adf551797", "50ed385f6c17b9de0dfae2fc3ac7c5cf69eb34a87ddbcf5c6f59d2f837b9ad1c"))	
4	8000,stump_with_memoization,(2,true,"b",["Normalize"]),20,(50,100,75),false,TestOp_80	(95.35, 63.64, 81.82, 81.82, 72.73, 90.91, 88.89, 76.92, 80.0, 13, 16.187, eb616a4fb25e3a2666997340384add1bae9eda2b8cbab9e0d7a10132cb1eb439)	(82.56, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 5, 2.287, 9ba7d84772cc82e44ea0866c6d3257ca57f5545e40bc59bcde9494b7cbafea2b)	(82.56, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 5, 2.288, 9ba7d84772cc82e44ea0866c6d3257ca57f5545e40bc59bcde9494b7cbafea2b)	(93.02, 63.64, 81.82, 81.82, 81.82, 81.82, 81.82, 81.82, 81.82, 11, 4.844, c176fa061cd56c06ad9d58b7053865c153e3bf3bc972f90378a1579475e547d3)	(82.56, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 5, 2.724, 9ba7d84772cc82e44ea0866c6d3257ca57f5545e40bc59bcde9494b7cbafea2b)	(82.56, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 5, 2.266, 9ba7d84772cc82e44ea0866c6d3257ca57f5545e40bc59bcde9494b7cbafea2b)	(100.0, 63.64, 81.82, 81.82, 74.55, 89.09, 87.47, 77.9, 80.36, 20.7, 66680.0)	(0.0, 0.0, 0.0, 0.0, 0.17, 0.17, 0.1, 0.05, 0.01, 0.09, 47520.0)	(133.036, ("b5736d55feddb92c39a9b32f0b08245b093083b9885c24e57d3039571e88c104", "0b9d2313a5a5283b91bdc1a1574d491682314fa06971d9d516078ba481b713f4", "ea54ee8e00f3e3412e3f451e37dc9eff6570b72e83ddd11673151acb2c953576", "1be0dd71aea057a7caaed45a045440800f87f960a1fc9135b58b18b893c3a40c", "1fa3e88ed294957fd3c7914605700790752c934a8a5d0c1ada9b23d0fd42d4ad"))	
