Dataseed	windowsize_flattened_ontology_test_operators	n_samples_per_label	n_attributes	dataset_name	# insts (TRAIN)	# insts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.3)train_accuracy	T(entropy,2,0.01,0.3)K	T(entropy,2,0.01,0.3)accuracy	T(entropy,2,0.01,0.3)macro_sensitivity	T(entropy,2,0.01,0.3)safe_macro_sensitivity	T(entropy,2,0.01,0.3)safe_macro_specificity	T(entropy,2,0.01,0.3)safe_macro_PPV	T(entropy,2,0.01,0.3)safe_macro_NPV	T(entropy,2,0.01,0.3)safe_macro_F1	T(entropy,2,0.01,0.3)n_nodes	T(entropy,2,0.01,0.3)t	T(entropy,2,0.01,0.3)hash	T(entropy,2,0.01,0.4)train_accuracy	T(entropy,2,0.01,0.4)K	T(entropy,2,0.01,0.4)accuracy	T(entropy,2,0.01,0.4)macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_specificity	T(entropy,2,0.01,0.4)safe_macro_PPV	T(entropy,2,0.01,0.4)safe_macro_NPV	T(entropy,2,0.01,0.4)safe_macro_F1	T(entropy,2,0.01,0.4)n_nodes	T(entropy,2,0.01,0.4)t	T(entropy,2,0.01,0.4)hash	T(entropy,2,0.01,0.5)train_accuracy	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,4,0.01,0.3)train_accuracy	T(entropy,4,0.01,0.3)K	T(entropy,4,0.01,0.3)accuracy	T(entropy,4,0.01,0.3)macro_sensitivity	T(entropy,4,0.01,0.3)safe_macro_sensitivity	T(entropy,4,0.01,0.3)safe_macro_specificity	T(entropy,4,0.01,0.3)safe_macro_PPV	T(entropy,4,0.01,0.3)safe_macro_NPV	T(entropy,4,0.01,0.3)safe_macro_F1	T(entropy,4,0.01,0.3)n_nodes	T(entropy,4,0.01,0.3)t	T(entropy,4,0.01,0.3)hash	T(entropy,4,0.01,0.4)train_accuracy	T(entropy,4,0.01,0.4)K	T(entropy,4,0.01,0.4)accuracy	T(entropy,4,0.01,0.4)macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_specificity	T(entropy,4,0.01,0.4)safe_macro_PPV	T(entropy,4,0.01,0.4)safe_macro_NPV	T(entropy,4,0.01,0.4)safe_macro_F1	T(entropy,4,0.01,0.4)n_nodes	T(entropy,4,0.01,0.4)t	T(entropy,4,0.01,0.4)hash	T(entropy,4,0.01,0.5)train_accuracy	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	RF(0.7,51,half,all)train_accuracy	RF(0.7,51,half,all)K	RF(0.7,51,half,all)accuracy	RF(0.7,51,half,all)macro_sensitivity	RF(0.7,51,half,all)safe_macro_sensitivity	RF(0.7,51,half,all)safe_macro_specificity	RF(0.7,51,half,all)safe_macro_PPV	RF(0.7,51,half,all)safe_macro_NPV	RF(0.7,51,half,all)safe_macro_F1	RF(0.7,51,half,all)oob_error	RF(0.7,51,half,all)n_nodes	RF(0.7,51,half,all)σ² train_accuracy	RF(0.7,51,half,all)σ² K	RF(0.7,51,half,all)σ² accuracy	RF(0.7,51,half,all)σ² macro_sensitivity	RF(0.7,51,half,all)σ² safe_macro_sensitivity	RF(0.7,51,half,all)σ² safe_macro_specificity	RF(0.7,51,half,all)σ² safe_macro_PPV	RF(0.7,51,half,all)σ² safe_macro_NPV	RF(0.7,51,half,all)σ² safe_macro_F1	RF(0.7,51,half,all)σ² oob_error	RF(0.7,51,half,all)σ² n_nodes	RF(0.7,51,half,all)t	RF(0.7,51,half,all)hash	
1	single-pixel,propositional	100	-1	Pavia	720	180	[103]	[()]	96.81	75.0	77.78	77.78	77.78	97.22	77.6	97.23	77.56	131	19.183	aa20a6ea8c58283529cc3b75b3982473b25c089f25d2d93d4d80593771fbdaa1	95.97	73.75	76.67	76.67	76.67	97.08	76.63	97.1	76.31	111	10.271	c0ee5c5c3c0da0d2b2d9c215ff9e56bb081f9c9f12e4eb103de8390fcda62518	92.92	74.38	77.22	77.22	77.22	97.15	77.2	97.19	76.6	87	9.947	b2dfef01c177b48bc8b7d3a6451ba870852cfce9c15510a68045b1499d0c7d80	95.28	73.12	76.11	76.11	76.11	97.01	75.99	97.03	75.88	111	10.178	08477c4715b185a7d929098b8d8bb744f79074dd0944e1734d075932bc2d17a2	95.14	73.75	76.67	76.67	76.67	97.08	76.9	97.11	76.27	95	10.324	4d136af51bc7676b855b6f977101370b8921f80b5a1f24ed7d2d36fc8ec6be49	92.08	74.38	77.22	77.22	77.22	97.15	77.2	97.19	76.58	79	10.346	ab7119ebb48ea2214c24be51a944c460b32aa4b44eecc7d5474fbf1375aa4d35	99.39	79.75	82.0	82.0	82.0	97.75	83.28	97.78	81.67	20.19	508260.0	0.0	0.03	0.02	0.02	0.02	0.0	0.03	0.0	0.02	0.01	155680.0	105.729	("a6ea80d9922d15ffb19cb051cdb13d8d6fce78d0db665ae8824003cb597e38eb", "5e6ab486510db5f74f260ed5eeddcb5be4f59752469c04f0b24dbc57a8c66a59", "f817cd6614eb65237fd93a7fa4d358346344e4b37df8011a75a2e44378ea9441", "21756d7b779442ff873e684cfaa0fdce230f48a38ea1c417c54811021fac7d41", "d13b6377a90e86e517e2ef32d7afdad21296c0ac0e56df37cf98d4271c7d21b3")	
2	single-pixel,propositional	100	-1	Pavia	720	180	[103]	[()]	96.53	70.62	73.89	73.89	73.89	96.74	74.22	96.75	73.67	109	10.299	9036a257f716bdee75cbfd985e77862244ed71d98190f079898de2f567bb6d02	95.69	71.25	74.44	74.44	74.44	96.81	74.8	96.82	74.18	99	10.315	10636b98eb240dadbbba0a6fd9c486f716bd5093abaab56596e957c70fe8212b	91.94	71.88	75.0	75.0	75.0	96.88	75.55	96.91	74.45	69	10.359	fd354812980e856044b9e17a1a3ceacc1c7ae348a728e97bfc05e65934579b5a	94.86	69.38	72.78	72.78	72.78	96.6	72.75	96.61	72.61	91	10.349	27f9988f05b617f655e463bd05a36e5ad1c582ddc63bf494020a9807868d7ac0	94.31	70.0	73.33	73.33	73.33	96.67	73.37	96.68	73.12	83	10.339	49875d88369c2eae8bd2fa88a7207965b261366ea773a603f2b69bbbb228573d	91.25	72.5	75.56	75.56	75.56	96.94	75.55	96.97	75.1	63	10.325	e686d3def04ce753a4be911c0e782215a958a649c49988af551f59c35fe7a964	99.33	76.5	79.11	79.11	79.11	97.39	79.38	97.41	78.76	19.33	496340.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	309480.0	97.172	("51ea87fc0deff716bfe43071f37f0078dd0dd6af737c60e4a2a89d967598b295", "c789c2fe9b392198863ddfe30f842f181281b63f5f9ec1980faa76ea65264c55", "6e62a9ee84d9d9c0b93991af230482259b7713dac060431f309387b2568ae27d", "f576d446f2e72e91d6352a07c8ad3cced7e5818ad670d44ccb171cbfadd153f2", "d172f1eaa019f3822a0019ca765da6e981d1531ce790ce3e72edef833d85a0e2")	
3	single-pixel,propositional	100	-1	Pavia	720	180	[103]	[()]	96.25	72.5	75.56	75.56	75.56	96.94	76.75	96.95	75.79	121	10.092	78c81873e1fe18ea3ff62cbbe6e490f1a8efe1151a581772ea34b4f75948acdb	95.97	70.62	73.89	73.89	73.89	96.74	75.46	96.74	74.2	115	10.149	1546272d8a68625838ecf3bad54753a7ddf09f973fac28e8ce19015d1bbdc790	91.39	68.13	71.67	71.67	71.67	96.46	72.53	96.49	71.38	79	10.216	2a53b9e9761d375f9dec8a83a5fe95e2429eab34eb9edc55e89186b54f606d5d	94.72	75.0	77.78	77.78	77.78	97.22	77.77	97.23	77.61	103	9.957	d71e6ab4f106e113182ede2bbd4d543ec08a64bcfd37665e3012eb6d6c5b5cea	94.72	75.0	77.78	77.78	77.78	97.22	77.77	97.23	77.61	97	10.249	13f40b5482fbab65284a411cc0c55c35c72e12a778be1ffa1fc69003d823f219	90.56	73.12	76.11	76.11	76.11	97.01	75.85	97.06	75.34	73	10.221	d2d60bf1c54ea2d13cbf85b56f12fc7052003d9e233e3ef38322c12092f3ee67	99.53	75.38	78.11	78.11	78.11	97.26	78.15	97.3	77.53	19.86	519060.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	132680.0	98.051	("17a3cddcdf734fadf30ac2b8178dd9f56dce483f2b3a0cff1e64c62bfbbefa5c", "f4b1eaa8bb172113f06192904f1cc52a01df1765f1bcd0cdc17700d5f4feafcf", "bca8c3a3b5648608a3107b99379ea6c525338ae4da567238a7ce5fcb39260a6b", "bdb93e2ff7fa875722615225eefe16636577eac9dc48fb2ded5d0277550ba503", "fa4b157692cb806d978e0ba5ea3b7e79b15dfab1ff6cbe6f38fe6f6db99f0269")	
4	single-pixel,propositional	100	-1	Pavia	720	180	[103]	[()]	95.83	73.12	76.11	76.11	76.11	97.01	76.24	97.02	75.99	103	9.986	e22680c891438d4806423621a33b071fd528522f8f86b8b0af4fb4b468418abd	93.75	70.0	73.33	73.33	73.33	96.67	73.15	96.71	72.43	89	10.082	d9d05696dc44069c5a1ca8ea94a3f99ea1cd6b7e4290f446001d9a0f78eb7ffb	91.39	70.62	73.89	73.89	73.89	96.74	74.15	96.79	72.76	75	10.052	c9297370a542030c3da00e347134273049840c4ee44e92a8b198c9991d85dc49	94.31	71.25	74.44	74.44	74.44	96.81	75.13	96.82	74.37	91	9.948	9255354aaf58eae05982a1ba67f0dd84b09fd8c3dbd1bdc27d127f5be3f6efff	92.64	70.0	73.33	73.33	73.33	96.67	72.69	96.71	72.52	79	10.115	80427a3a6f444467db1bd96d58922c7d227d94d89f84c48989bcdec040498e0f	90.56	70.0	73.33	73.33	73.33	96.67	72.48	96.71	72.38	67	10.011	6f98491d8f8f9382fe1dc0ca9cf595af8fba28eb561b8945b96fa7b4176586ed	99.31	77.0	79.56	79.56	79.56	97.44	79.75	97.45	79.42	19.67	505580.0	0.0	0.04	0.03	0.03	0.03	0.0	0.03	0.0	0.03	0.0	66520.0	96.552	("909a0d91d7c22f62c96d88bd2faee22d347f4cc5c9e7467ebc48f2d601e69855", "d444c268e287dd0dfbfeaba8bddb5a5e4cac0b88dea94b16218375640c37597c", "e9e4adcbabe62b546454b0c864c531a328ecf12482257d009be3900c2d4a4762", "ed7fccb456ccfd82b6f060ab41c9cb7f3035873eedbdc95c2f677d32636f3b16", "9595191b0ba342c1e899b8db33042e8a59d6fed3071e0d6efa9ba089035092ab")	
5	single-pixel,propositional	100	-1	Pavia	720	180	[103]	[()]	96.11	76.25	78.89	78.89	78.89	97.36	80.09	97.37	79.01	119	10.267	df4c384e11e1cb9764ef48dddba1c7749797fdce9adfc93e9a974434b937f89d	94.86	76.88	79.44	79.44	79.44	97.43	81.25	97.45	79.47	111	10.41	8b48ff487160942fc9aa7e74eda49b8f4cb650c943719beac09692808b8a01f5	93.19	77.5	80.0	80.0	80.0	97.5	81.64	97.52	80.01	93	10.119	0f001dc0b9f144d3ab47c74d5353769d33cf2597e465eef9c3288a27293b3dec	93.19	75.0	77.78	77.78	77.78	97.22	79.28	97.23	77.95	103	10.244	1fe3adf10e30977bc489f37be1924703368c2be6b00563d24e0c7183ec8065cd	93.19	75.0	77.78	77.78	77.78	97.22	79.28	97.23	77.95	99	10.413	30b71e2f37cb0af11d03530e32adeed115c6ad2e353750fcb1480dd04d6d5279	91.81	76.25	78.89	78.89	78.89	97.36	80.7	97.38	78.97	85	10.1	da39a6270aaec12bd1c3a0224e3f99164cd39aceac4a3ef4d42455bb1cdb9ce1	99.47	79.75	82.0	82.0	82.0	97.75	82.61	97.76	81.95	20.92	521860.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	72680.0	95.928	("e11efa1cd3491e05b5c569b9a1f57254e53acd4ff673bc47a75638fec0af002c", "a0b2f3d0e1c66e04469a82ae31a0ac664296beacd9c95b4564819485b804617f", "4f4ee2ace1f1d3f836096e23b3c295824b27b03735904aa8cc72ca739deab995", "ded1fd143cb01f83f15fcebc5f7aa14ccb24640b2a4acb9aad5897f75bd0616b", "a14f37c17dd70d10d6df8e10a263f19fd661b6b1309575dd7e7dca7399e8028c")	
6	single-pixel,propositional	100	-1	Pavia	720	180	[103]	[()]	97.08	70.0	73.33	73.33	73.33	96.67	75.09	96.7	73.13	121	9.847	836474a6580816aff0eaccff3f071cd50dcf722cef706b28e5c9226adf89052a	95.97	71.88	75.0	75.0	75.0	96.88	75.94	96.91	74.64	103	10.284	e0dfe1ead7e12c8b57a8da7761563d0022902abccd6d24703548e2506b3ba48b	92.08	73.75	76.67	76.67	76.67	97.08	77.83	97.13	76.22	71	9.795	ce90eaffbb4ec86f34bec069f778387003e8edba0fc35012593100c80fd9c35e	94.44	70.62	73.89	73.89	73.89	96.74	73.96	96.77	73.35	95	9.992	17cee35e47fc24d9341ecc829bc4552b1edf6d6166d838f433f46b52c84cfe6d	93.89	71.25	74.44	74.44	74.44	96.81	74.74	96.84	73.98	81	9.802	ec981618af777d79854875bef843dbeac82446afdb29d61e9ffdd42d73a994cd	91.11	73.75	76.67	76.67	76.67	97.08	77.44	97.13	76.17	59	9.766	5675ccb9d77b6342867c4fbbd38fe79c452a0a7228f2869ba8eef5fc873dd32e	99.25	78.75	81.11	81.11	81.11	97.64	82.34	97.65	81.12	20.75	512300.0	0.0	0.03	0.02	0.02	0.02	0.0	0.03	0.0	0.02	0.01	800400.0	96.177	("cdf339d6cb9ed2d33306d9c858e90e53bd7ed4686a0e7bc6a3d94b577d643541", "5980b1682f95cf7c4aa0461632d4c66edddb6ecc1b406223c0002fab7dbe23f9", "cc2512f2773e41599abf95a857e1255057b79d5f7944c9d96743654a85bd6f9d", "8fc50389e7761ef47ebabf967b4a19c7a80638c8ffc1ee167d91b683a2d4e493", "1fa7c7778be6f07a83cdaca86406aff4382a314aceb3e87c6c6420e0ed529143")	
7	single-pixel,propositional	100	-1	Pavia	720	180	[103]	[()]	97.5	68.75	72.22	72.22	72.22	96.53	72.36	96.54	71.98	115	9.84	a9b42ead5d109333c6fac949557cf7fea1ec22cf753d2bd7d589b8738ce0f005	96.53	68.13	71.67	71.67	71.67	96.46	71.69	96.47	71.41	99	9.924	e2c0c794f3a06e6d76c53f5e93863f6a74c70de45be21a90e2667c0ea95a6ef6	92.22	68.13	71.67	71.67	71.67	96.46	72.47	96.51	70.67	71	9.89	03c17d4eda9419d56d6e25b15c32dd33195a6ca453c784e5b441daa07cdacfc6	95.56	64.38	68.33	68.33	68.33	96.04	68.02	96.06	67.91	101	9.693	e5cc20328f7719ccd17a7f1d5ddb886dd9e758056e9e6aa4f7862cf17181c3ca	95.14	65.62	69.44	69.44	69.44	96.18	69.24	96.2	69.05	89	9.981	b3e4a0824487e9528e42f3e77214156d47c6acf947c6bcf502f64a250e6a7f44	91.81	65.0	68.89	68.89	68.89	96.11	69.34	96.18	67.43	69	9.698	e4222c5ac45166f80dd2718d5c36a9fd3991277e9a5f242f18b2c2391bee401b	99.11	73.88	76.78	76.78	76.78	97.1	77.92	97.13	76.24	17.97	491900.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	197600.0	91.807	("44b3b0c6cce85e689691635bdb6c3db0f72ff663b7a257553d5a50a977cdeabc", "d5f0270d550f3aa4b24199048ada76cccfcebf30760292d76de628c845e7373a", "eff27158ada387a5cf558f713c72c8ce9596a7ff8c5057d4c0cfd0dd004f0c88", "5e28e70d2ee0d1db58f633573468a2674a6f36e512a5872ef9d51736bc9c4b22", "97d54051fef596f67f964b1ef691a6c5119801c3ac89da86c9ecb006f7a77fc3")	
8	single-pixel,propositional	100	-1	Pavia	720	180	[103]	[()]	97.08	66.25	70.0	70.0	70.0	96.25	70.89	96.25	70.15	127	10.033	81a2639c2505dded58c7bb8e21d2871e3cd4d61b01fb9c222094feebd2690453	95.69	68.13	71.67	71.67	71.67	96.46	72.86	96.46	71.96	107	10.179	d82697e7a5a38768dbb563caff6735bc3654b828d116aea53f6ec41fd113e4b2	90.97	68.75	72.22	72.22	72.22	96.53	72.71	96.54	72.07	69	10.274	ecd288ff7e310d3c7c025ebd5802482da02ca19bc1036feaa76d9338a4846545	94.44	68.13	71.67	71.67	71.67	96.46	73.13	96.46	72.0	103	10.224	a185eea9c35dc0ee06d4a1e542a2d7b79fc7bfb79a5d1f1154437fbfb382e1ce	93.75	69.38	72.78	72.78	72.78	96.6	74.22	96.6	73.04	91	10.214	4719dc701be20baaf0f33bde1ea3a9871f0d7b3533e12f05d6bc05b1d5038e09	90.28	69.38	72.78	72.78	72.78	96.6	73.27	96.62	72.54	61	10.173	b31f71f1b61c77f75cd7153d2b4c63039cd5f71b21c85fb42f0ca47a06b1a744	99.39	77.25	79.78	79.78	79.78	97.47	80.08	97.49	79.59	20.64	511700.0	0.0	0.02	0.02	0.02	0.02	0.0	0.02	0.0	0.02	0.01	297600.0	94.357	("2a6a86d0d63022725c0e54277be5fae79084c6a00ea5fff77fdc92fc71cf398f", "f328be2fb1f372f3979fc6ac1f11d4eb7db1a823b2e1cd2618d6ef5226de6264", "eaed1e56a4bd5cd670833db975eaead45b769285fb652d77b8a896b5467dc308", "c33b5e7bf6218de9c59614dbeb2a9b73ece211f24345e0cc426f426374fd18d5", "c124d67260cf19124009651325f416034bc128bc313e249898e498b97fbe0a86")	
9	single-pixel,propositional	100	-1	Pavia	720	180	[103]	[()]	96.53	71.25	74.44	74.44	74.44	96.81	74.19	96.84	73.78	117	10.224	fd703beb1bcbdbf0ec0e6b9652a0f42aee5465de27bccbeb048e33d0d00efd9a	95.0	72.5	75.56	75.56	75.56	96.94	75.29	96.97	75.01	95	11.102	7e73f73f0fbf26111437d1bee8071a3ee81d65511706b0e3118e8a1a849218d8	92.5	73.75	76.67	76.67	76.67	97.08	76.84	97.12	76.14	81	9.974	154588991dac3259feb0cc5e5f94c6a94cccd3880e48157a67403ff892e4f5b0	95.0	71.88	75.0	75.0	75.0	96.88	75.41	96.91	74.5	97	9.962	abf367ecafc6abb0a21702de359bd04836af0bd94dd532cdb244bbe1239688a4	94.44	73.12	76.11	76.11	76.11	97.01	76.36	97.04	75.75	85	9.991	8c9bb8149afcb54ba11095a92751043f7bb1d657c2d0677b5428a090966c0dda	91.67	73.75	76.67	76.67	76.67	97.08	77.21	97.12	76.22	71	9.979	456af6b46ccf2c111b069e7f555520d1a10ae5ee9ea48a30759c52433b2c9a6a	99.53	75.75	78.44	78.44	78.44	97.31	78.51	97.34	77.83	19.36	508580.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	57320.0	95.144	("f5e23497952b1dbe3518f0ad53d77a09a898ddc8cae42650134d7ae0a3cc6d7e", "20b906be154600dde494f28d0209e35cce8208a7f59b80d7f186f1a5b5c65484", "635cf5523e530309cdf4c79b85156fd5a649a3b4dda24074f5298a7f087a5fc4", "a6a1878bb92401eb791dc6d5191ac6c7e2f206e94651da421032cf0ec968d745", "9cd3e760f188cf851729b1e4156be0a50ebea39115643ff0c7664dbae2946b7f")	
10	single-pixel,propositional	100	-1	Pavia	720	180	[103]	[()]	96.25	67.5	71.11	71.11	71.11	96.39	72.34	96.4	71.13	123	9.549	af0f3f5d1aa59b4e495b46b35fea46d075830f58dbf31ad9c889f8edda49afb1	94.31	64.38	68.33	68.33	68.33	96.04	68.69	96.07	67.92	107	9.702	208ada4136a212a59d979313167b5435c0bbd6d2f2f47adfd9f5609a4335e48d	92.22	68.13	71.67	71.67	71.67	96.46	71.62	96.47	71.39	87	9.669	9a1f115bb567cae48fea8347cf1736167257456753036aae0dae7c42ec1f95f3	94.86	70.0	73.33	73.33	73.33	96.67	74.56	96.69	73.14	95	9.64	db8c0fb91defdb3a3a7573468d57c6c8a55b42dcd0526eb8b3b60df4858d3985	93.06	66.88	70.56	70.56	70.56	96.32	71.12	96.37	69.7	81	9.64	dd5b9f3bad6a61c028f2ebc16b463941c5ccacbb3caab5a4744c451d60856112	91.25	69.38	72.78	72.78	72.78	96.6	72.39	96.63	72.17	71	9.626	f17c20cf3b7be46bb40cf815c2725b519efc4e9b0ff32288c4ae992602d5c022	99.61	78.63	81.0	81.0	81.0	97.62	80.82	97.64	80.68	20.53	525180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	576720.0	94.404	("2e95fc4f637fcc16cb921299273c8504844681e00b33260c9b8414af2bed0870", "93a42493a31a7eb0a4b54546ce8137ce527cab224745c9074a08fc36f5d50a34", "dc4d59ee3d529c971eaa5a8c02f15c92d874e679f3fa58d6cf8fce19fa1745a4", "6452a275e88c97255deb99266662f18593b9e2204b062f4fc9db80063bfec3c3", "b8aaf34b52c2f47ed7229c2e8af92165fcc9944a596a3f90471097a7ab36c3cc")	
1	3x3,flattened propositional	100	-1	Pavia	720	180	[927]	[()]	95.0	43.75	50.0	50.0	50.0	93.75	50.59	93.76	49.98	241	94.469	f39eae5ff49f39f9d1a1243df7de85091f90cc88ae01a5f38f0d25734ce447fa	94.72	44.38	50.56	50.56	50.56	93.82	51.64	93.82	50.74	229	93.573	e81f52be387097b8e33d874b32ba3602388ecd2ef88958e6c19f448e957e26a7	94.44	44.38	50.56	50.56	50.56	93.82	51.69	93.82	50.79	219	93.409	45f990e3369eff477d98e61d7f668b3a0e8457c08f780272d17dcdcdefa68200	88.75	42.5	48.89	48.89	48.89	93.61	49.55	93.61	49.1	183	94.575	5d094a0865a5e30e439d879bdc3929490c21db8be7107c2a2b4ad03c9d4f6212	88.75	43.13	49.44	49.44	49.44	93.68	50.57	93.67	49.85	171	94.328	a3c4dd49d5fe22cc5bab18ccc7a904cc2161b8d0c4f0c09a56ee9dc538e195a8	88.75	43.13	49.44	49.44	49.44	93.68	50.57	93.67	49.85	169	94.61	ccda98aeb2d5bd0113cca2a2ff785b4a062b0a941f7e4bbc4d51a6263f80d314	100.0	74.13	77.0	77.0	77.0	97.12	78.7	97.15	76.92	27.08	965100.0	0.0	0.02	0.01	0.01	0.01	0.0	0.03	0.0	0.02	0.01	349000.0	972.05	("c9f29e8085fe711f6a88f1f3267568c0c8f12f47ce2149216c7bac5b2ade89e3", "6a5bac420953087a79d4b42de7d933f7c2edd9bb725e0a58033f5fbf3bee4823", "6eb5d6c6f24fe8815dbccf9e25029ec669f2de1c24895e441f2db2037523bac6", "f145cc53f6e82ddf2958231605649f5b1b9aea14866f74e502073f6f7148ade6", "f7f7a2c6ce2e262f431f66afb36e393dc2ea8ed9ad943e2a027dd55ed2efc937")	
2	3x3,flattened propositional	100	-1	Pavia	720	180	[927]	[()]	95.28	43.13	49.44	49.44	49.44	93.68	50.87	93.71	49.23	231	85.826	70d5451c4326d4fe26dc0e830ded9c9e98beaa3c37053d607d4db70af20ca519	94.31	43.75	50.0	50.0	50.0	93.75	51.91	93.78	49.94	215	85.664	5791656e2f2ab6fdb5e21d604f1887b9d9a81b4d11216548365feb1222f0240b	94.03	43.13	49.44	49.44	49.44	93.68	51.19	93.71	49.26	205	86.532	e26c1ae3bec8205efe67ed9fadc69cf5f855c15fa12a83f431758e66b4a78386	88.89	42.5	48.89	48.89	48.89	93.61	49.94	93.63	48.68	185	86.189	debdcadec0ad9cb679b765e6c7bd60c4275f7936c363f1cacc59869b104bb267	88.61	42.5	48.89	48.89	48.89	93.61	49.83	93.63	48.75	169	85.386	c5bded587e1dbe1219f3e8d733684875e743825009c7ea458967d2a75db833fd	88.61	42.5	48.89	48.89	48.89	93.61	49.83	93.63	48.75	167	85.474	077bf145fb307a82f3452ccde27dd6b96a2227d54e7a05e92d17b8e591c59a63	100.0	77.75	80.22	80.22	80.22	97.53	81.11	97.55	80.14	28.97	964820.0	0.0	0.06	0.04	0.04	0.04	0.0	0.04	0.0	0.04	0.01	508520.0	972.268	("a66951d3647cbabff140473724fae31e16073de5f41b87ed844f5b4592aba357", "ac8bd34fa272b2e62d87f85a2ad2ca67a5ec00d838b844bc27144af432c3a1d3", "129f066e8b61a37ee0c31a9c5290687088ac7471f588a6ac91931f8baa2bd8a5", "7e630d98810ca139cb921d25300bbdc9ddac1502c35d24a7872cbda3f90aee5c", "cfb4c176ba5fd8a4008069ffa07528e0bb1b182b981ded2d55372d5ecd4a5078")	
3	3x3,flattened propositional	100	-1	Pavia	720	180	[927]	[()]	94.44	40.0	46.67	46.67	46.67	93.33	48.2	93.36	46.5	237	112.669	6cd3c79d82d4c143745d9ef1aa84c90898017095344c6f9e02b2c9cc1e96b74f	93.75	40.0	46.67	46.67	46.67	93.33	48.2	93.36	46.5	227	111.829	9b082eb9ef38755e551fe52c8e94f3250f2b3c8553df57caa9832666d73b720c	92.36	38.75	45.56	45.56	45.56	93.19	46.75	93.21	45.53	205	111.712	21549285e5a920bf1fbaed86a60f1d81befe037a77881e1259e87f79cd84a71b	89.31	41.88	48.33	48.33	48.33	93.54	49.53	93.56	48.3	179	111.634	3f72a3ef22e4224c72afeb4d1ac7087a614eca4e4a872b25763f54c30d2b7484	89.03	40.0	46.67	46.67	46.67	93.33	48.34	93.36	46.71	171	111.264	bc18d274a58e42c51c3d7095410f0914031eea1ea68b525661cb140b7ae35c31	88.33	40.62	47.22	47.22	47.22	93.4	48.69	93.42	47.25	163	111.012	9fa25a4d9a867182089e0dea9c5cdbb244c8db75b86d5fd51b2e1117c49b5d70	100.0	76.13	78.78	78.78	78.78	97.35	80.0	97.36	78.76	26.83	956620.0	0.0	0.16	0.13	0.13	0.13	0.0	0.09	0.0	0.12	0.03	532120.0	969.445	("417ca7af18128e827fbf16a1356c6c6d968b1044dbfbfba99f357b6697af7cd2", "e427ff1de0dc97fbf926aa39dc1a25ade30b009380464f35a2057654b87cb820", "484afd71c7b9499959c30157b12db32953b2e84fee4bb43fd763147103eab471", "3b547335269f4dabc1908a4431174ddc1f05a4b5cf1b02e3aad3ba07dd63dc9f", "f1708144e2501fec9997e4f162bcebbfa0ccad8055ead4d2f24cba2c495d025e")	
