Dataseed	base_freq	base_freq_min	base_freq_max	fbtype	exec_max_sample_rate	exec_ignore_low_sr_samples	use_training_form	exec_n_ver_n_task_use_aug_dataset_dir_preprocess	nbands	dataset_kwargs	use_full_mfcc	test_operators	ontology	# insts (TRAIN)	# insts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.4)train_accuracy	T(entropy,2,0.01,0.4)K	T(entropy,2,0.01,0.4)accuracy	T(entropy,2,0.01,0.4)macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_specificity	T(entropy,2,0.01,0.4)safe_macro_PPV	T(entropy,2,0.01,0.4)safe_macro_NPV	T(entropy,2,0.01,0.4)safe_macro_F1	T(entropy,2,0.01,0.4)n_nodes	T(entropy,2,0.01,0.4)t	T(entropy,2,0.01,0.4)hash	T(entropy,2,0.01,0.5)train_accuracy	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,2,0.01,0.6)train_accuracy	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.4)train_accuracy	T(entropy,4,0.01,0.4)K	T(entropy,4,0.01,0.4)accuracy	T(entropy,4,0.01,0.4)macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_specificity	T(entropy,4,0.01,0.4)safe_macro_PPV	T(entropy,4,0.01,0.4)safe_macro_NPV	T(entropy,4,0.01,0.4)safe_macro_F1	T(entropy,4,0.01,0.4)n_nodes	T(entropy,4,0.01,0.4)t	T(entropy,4,0.01,0.4)hash	T(entropy,4,0.01,0.5)train_accuracy	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	T(entropy,4,0.01,0.6)train_accuracy	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	RF(0.7,51,half,all)train_accuracy	RF(0.7,51,half,all)K	RF(0.7,51,half,all)accuracy	RF(0.7,51,half,all)macro_sensitivity	RF(0.7,51,half,all)safe_macro_sensitivity	RF(0.7,51,half,all)safe_macro_specificity	RF(0.7,51,half,all)safe_macro_PPV	RF(0.7,51,half,all)safe_macro_NPV	RF(0.7,51,half,all)safe_macro_F1	RF(0.7,51,half,all)oob_error	RF(0.7,51,half,all)n_nodes	RF(0.7,51,half,all)σ² train_accuracy	RF(0.7,51,half,all)σ² K	RF(0.7,51,half,all)σ² accuracy	RF(0.7,51,half,all)σ² macro_sensitivity	RF(0.7,51,half,all)σ² safe_macro_sensitivity	RF(0.7,51,half,all)σ² safe_macro_specificity	RF(0.7,51,half,all)σ² safe_macro_PPV	RF(0.7,51,half,all)σ² safe_macro_NPV	RF(0.7,51,half,all)σ² safe_macro_F1	RF(0.7,51,half,all)σ² oob_error	RF(0.7,51,half,all)σ² n_nodes	RF(0.7,51,half,all)t	RF(0.7,51,half,all)hash	
4	fft	300	700	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	368	92	[60]	[(3,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.044	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.045	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.045	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.046	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.144	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	60.0	40.0	NaN	NaN	40.0	56.2	5100.0	0.0	0.0	0.0	0.0	30.0	30.0	NaN	NaN	13.33	0.09	0.0	0.722	("92395783c0b4f81433beb5be26722431f6c728fdaf0f999b9f15c47f5bb41a90", "3d5cd77b9aed97bcf6bd08dc96893dd0cb474dd93f427e55f500cb8b7a0150a4", "61101f4094baa9a1861c2fc070ef3258175e4ba1498e0b4cbc0bf8ed2692df9d", "4fc2d96e71b91efa655464966bdc3396a61f83b3abfc56166029f2872ec6f240", "bef48b78dc9f8d810dd72916cebbe12f028eb0c2744c837e299d5bb03d20641d")	
5	fft	300	700	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	368	92	[60]	[(3,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.045	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.045	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.043	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	60.0	40.0	NaN	NaN	40.0	56.25	5100.0	0.0	0.0	0.0	0.0	30.0	30.0	NaN	NaN	13.33	0.09	0.0	0.842	("d0a5fe8a47abde52ef8580a78bce941032b48b3de3a68bbfdaea4d47c21d6a27", "3d5cd77b9aed97bcf6bd08dc96893dd0cb474dd93f427e55f500cb8b7a0150a4", "61101f4094baa9a1861c2fc070ef3258175e4ba1498e0b4cbc0bf8ed2692df9d", "4fc2d96e71b91efa655464966bdc3396a61f83b3abfc56166029f2872ec6f240", "bef48b78dc9f8d810dd72916cebbe12f028eb0c2744c837e299d5bb03d20641d")	
6	fft	300	700	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	368	92	[60]	[(3,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.044	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.053	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.041	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.041	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.041	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	60.0	40.0	NaN	NaN	40.0	56.36	5100.0	0.0	0.0	0.0	0.0	30.0	30.0	NaN	NaN	13.33	0.09	0.0	0.982	("d0a5fe8a47abde52ef8580a78bce941032b48b3de3a68bbfdaea4d47c21d6a27", "9cf011b2d99c78a188573864320f763d48062a6c26f1495b4b263a0a0116928c", "61101f4094baa9a1861c2fc070ef3258175e4ba1498e0b4cbc0bf8ed2692df9d", "4234682cc0060bffb60b2ffa7a5424dcd275b28f84e39d6eba10969848288ce7", "bef48b78dc9f8d810dd72916cebbe12f028eb0c2744c837e299d5bb03d20641d")	
7	fft	300	700	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	368	92	[60]	[(3,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.041	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.041	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.043	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.044	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	60.0	40.0	NaN	NaN	40.0	56.25	5100.0	0.0	0.0	0.0	0.0	30.0	30.0	NaN	NaN	13.33	0.1	0.0	0.825	("92395783c0b4f81433beb5be26722431f6c728fdaf0f999b9f15c47f5bb41a90", "9cf011b2d99c78a188573864320f763d48062a6c26f1495b4b263a0a0116928c", "61101f4094baa9a1861c2fc070ef3258175e4ba1498e0b4cbc0bf8ed2692df9d", "4fc2d96e71b91efa655464966bdc3396a61f83b3abfc56166029f2872ec6f240", "bef48b78dc9f8d810dd72916cebbe12f028eb0c2744c837e299d5bb03d20641d")	
8	fft	300	700	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	368	92	[60]	[(3,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.041	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.041	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.041	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	60.0	40.0	NaN	NaN	40.0	56.3	5100.0	0.0	0.0	0.0	0.0	30.0	30.0	NaN	NaN	13.33	0.08	0.0	0.95	("e5db1362c02bcdeb1652450f9638b7f1e5c549b796c03bf6474d145417e770de", "3d5cd77b9aed97bcf6bd08dc96893dd0cb474dd93f427e55f500cb8b7a0150a4", "61101f4094baa9a1861c2fc070ef3258175e4ba1498e0b4cbc0bf8ed2692df9d", "4fc2d96e71b91efa655464966bdc3396a61f83b3abfc56166029f2872ec6f240", "bef48b78dc9f8d810dd72916cebbe12f028eb0c2744c837e299d5bb03d20641d")	
9	fft	300	700	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	368	92	[60]	[(3,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.041	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.044	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.045	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.18	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	60.0	40.0	NaN	NaN	40.0	56.25	5100.0	0.0	0.0	0.0	0.0	30.0	30.0	NaN	NaN	13.33	0.09	0.0	1.034	("92395783c0b4f81433beb5be26722431f6c728fdaf0f999b9f15c47f5bb41a90", "3d5cd77b9aed97bcf6bd08dc96893dd0cb474dd93f427e55f500cb8b7a0150a4", "61101f4094baa9a1861c2fc070ef3258175e4ba1498e0b4cbc0bf8ed2692df9d", "4fc2d96e71b91efa655464966bdc3396a61f83b3abfc56166029f2872ec6f240", "8c9cd41e2904a69545a8dc4b77183252479144999aea7a755a0d753173f6a8e2")	
10	fft	300	700	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	368	92	[60]	[(3,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.041	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.041	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	60.0	40.0	NaN	NaN	40.0	56.2	5100.0	0.0	0.0	0.0	0.0	30.0	30.0	NaN	NaN	13.33	0.09	0.0	0.88	("92395783c0b4f81433beb5be26722431f6c728fdaf0f999b9f15c47f5bb41a90", "3d5cd77b9aed97bcf6bd08dc96893dd0cb474dd93f427e55f500cb8b7a0150a4", "61101f4094baa9a1861c2fc070ef3258175e4ba1498e0b4cbc0bf8ed2692df9d", "4fc2d96e71b91efa655464966bdc3396a61f83b3abfc56166029f2872ec6f240", "bef48b78dc9f8d810dd72916cebbe12f028eb0c2744c837e299d5bb03d20641d")	
1	autocor	300	700	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	368	92	[60]	[(3,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.045	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.046	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.045	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	60.0	40.0	NaN	NaN	40.0	56.2	5100.0	0.0	0.0	0.0	0.0	30.0	30.0	NaN	NaN	13.33	0.09	0.0	1.095	("92395783c0b4f81433beb5be26722431f6c728fdaf0f999b9f15c47f5bb41a90", "3d5cd77b9aed97bcf6bd08dc96893dd0cb474dd93f427e55f500cb8b7a0150a4", "61101f4094baa9a1861c2fc070ef3258175e4ba1498e0b4cbc0bf8ed2692df9d", "4fc2d96e71b91efa655464966bdc3396a61f83b3abfc56166029f2872ec6f240", "bef48b78dc9f8d810dd72916cebbe12f028eb0c2744c837e299d5bb03d20641d")	
2	autocor	300	700	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	368	92	[60]	[(3,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.216	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.041	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	60.0	40.0	NaN	NaN	40.0	56.2	5100.0	0.0	0.0	0.0	0.0	30.0	30.0	NaN	NaN	13.33	0.09	0.0	1.195	("92395783c0b4f81433beb5be26722431f6c728fdaf0f999b9f15c47f5bb41a90", "3d5cd77b9aed97bcf6bd08dc96893dd0cb474dd93f427e55f500cb8b7a0150a4", "61101f4094baa9a1861c2fc070ef3258175e4ba1498e0b4cbc0bf8ed2692df9d", "4fc2d96e71b91efa655464966bdc3396a61f83b3abfc56166029f2872ec6f240", "bef48b78dc9f8d810dd72916cebbe12f028eb0c2744c837e299d5bb03d20641d")	
3	autocor	300	700	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	368	92	[60]	[(3,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.043	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.043	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.043	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.043	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.044	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	60.0	40.0	NaN	NaN	40.0	56.3	5100.0	0.0	0.0	0.0	0.0	30.0	30.0	NaN	NaN	13.33	0.08	0.0	1.253	("e5db1362c02bcdeb1652450f9638b7f1e5c549b796c03bf6474d145417e770de", "3d5cd77b9aed97bcf6bd08dc96893dd0cb474dd93f427e55f500cb8b7a0150a4", "61101f4094baa9a1861c2fc070ef3258175e4ba1498e0b4cbc0bf8ed2692df9d", "4fc2d96e71b91efa655464966bdc3396a61f83b3abfc56166029f2872ec6f240", "bef48b78dc9f8d810dd72916cebbe12f028eb0c2744c837e299d5bb03d20641d")	
4	autocor	300	700	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	368	92	[60]	[(3,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.045	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.044	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.044	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.21	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.041	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	60.0	40.0	NaN	NaN	40.0	56.2	5100.0	0.0	0.0	0.0	0.0	30.0	30.0	NaN	NaN	13.33	0.09	0.0	0.902	("92395783c0b4f81433beb5be26722431f6c728fdaf0f999b9f15c47f5bb41a90", "3d5cd77b9aed97bcf6bd08dc96893dd0cb474dd93f427e55f500cb8b7a0150a4", "61101f4094baa9a1861c2fc070ef3258175e4ba1498e0b4cbc0bf8ed2692df9d", "4fc2d96e71b91efa655464966bdc3396a61f83b3abfc56166029f2872ec6f240", "bef48b78dc9f8d810dd72916cebbe12f028eb0c2744c837e299d5bb03d20641d")	
5	autocor	300	700	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	368	92	[60]	[(3,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.041	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.042	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.043	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.077	7c6f2457c6dbc01a68bcd5697144ceb9e651c2c568f96291a59494692a2e4bf4	50.0	0.0	50.0	50.0	60.0	40.0	NaN	NaN	40.0	56.3	5100.0	0.0	0.0	0.0	0.0	30.0	30.0	NaN	NaN	13.33	0.1	0.0	0.888	("92395783c0b4f81433beb5be26722431f6c728fdaf0f999b9f15c47f5bb41a90", "9cf011b2d99c78a188573864320f763d48062a6c26f1495b4b263a0a0116928c", "da44d5953cb9c2fac686312091084ad031e4604d6464b18f3c31d069625c0c99", "4fc2d96e71b91efa655464966bdc3396a61f83b3abfc56166029f2872ec6f240", "bef48b78dc9f8d810dd72916cebbe12f028eb0c2744c837e299d5bb03d20641d")	
