Dataseed	Params-combination	T(entropy,2,0.01,0.4)	T(entropy,2,0.01,0.5)	T(entropy,2,0.01,0.6)	T(entropy,4,0.01,0.4)	T(entropy,4,0.01,0.5)	T(entropy,4,0.01,0.6)	RF(0.7,50,half,all)	RF(0.7,50,half,all)σ²	RF(0.7,50,half,all)t	
1	mel,8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA	(96.9, 25.0, 62.5, 62.5, 75.0, 50.0, 60.0, 66.67, 66.67, 41, 66.478, 727c30233efe765ffa01c9d49a6d2d70bd6d628831cc7b857430843cb0cf7b70)	(93.81, 17.86, 58.93, 58.93, 71.43, 46.43, 57.14, 61.9, 63.49, 31, 18.498, e376017124d3b16a895ae3f6debd449762ea99cfe4731e3822dac693fb114d37)	(92.92, 17.86, 58.93, 58.93, 71.43, 46.43, 57.14, 61.9, 63.49, 29, 18.222, ef4abd0affd233991f04f92f26a3b375d569ff30b58650856fdc6512cd1ee6cb)	(95.58, 25.0, 62.5, 62.5, 75.0, 50.0, 60.0, 66.67, 66.67, 39, 18.509, a03155eb1cb33affd61a9e680110f18037ccedddbbc539dac3abc1d8940c0dd0)	(92.92, 17.86, 58.93, 58.93, 71.43, 46.43, 57.14, 61.9, 63.49, 31, 18.438, fd92ef1278363c94d050ae7caa1173788da6beb0884f8fb4ca4c8bd49f871988)	(92.92, 17.86, 58.93, 58.93, 71.43, 46.43, 57.14, 61.9, 63.49, 29, 18.281, ef4abd0affd233991f04f92f26a3b375d569ff30b58650856fdc6512cd1ee6cb)	(99.73, 54.29, 77.14, 77.14, 77.14, 77.14, 77.25, 77.73, 76.9, 33.6, 157600.0)	(0.0, 2.0, 0.5, 0.5, 1.31, 0.68, 0.49, 0.62, 0.69, 0.06, 21400.0)	(413.533, ("6859a654bf3e5183ab9d1b27d3f236cdfb636b95b4c5dd5f718c7b3542fc0ad6", "7147a958063bc5c109df75c5ea02ef8f861252f2734c2967cfc2c37ea6c4242c", "42edae4c8efb8029365f14f33b1919917fe74c3367b93ce888267ce6a4034e13", "5ec43c7a4953880b0586b7f3f1f2019665d192b647f30e20ef3233ffecc6f4bb", "0be8b6c598e330ab5649b62a8e3655e662ed552b4e5e5ee9e76814fae7788182"))	
2	mel,8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA	(96.02, 17.86, 58.93, 58.93, 60.71, 57.14, 58.62, 59.26, 59.65, 39, 16.775, 8219fe125309df440c2401a05544f6fe4389389564044db66f15bd44e6cbeb06)	(95.13, 17.86, 58.93, 58.93, 57.14, 60.71, 59.26, 58.62, 58.18, 37, 8.948, 39c6bba12207ea038dfea6283d86a3e65b84f7051f50b1e502ff87120704d645)	(77.43, 10.71, 55.36, 55.36, 64.29, 46.43, 54.55, 56.52, 59.02, 9, 4.728, 6a0bd5e4e3d63ebdf7b57d60b29f16d3d22648fcc13bf50ad836bfb8bf285fad)	(95.58, 17.86, 58.93, 58.93, 57.14, 60.71, 59.26, 58.62, 58.18, 39, 8.868, eb1061fce4a4ebca0bb3d7127f0474b28ef5bec0139b44f9960e5751ad738191)	(95.58, 17.86, 58.93, 58.93, 57.14, 60.71, 59.26, 58.62, 58.18, 37, 8.841, 0940d6e58af191e42f080785d9c367892ed5fc9db6a8ebdb886c11f6bf91cdb8)	(77.43, 10.71, 55.36, 55.36, 64.29, 46.43, 54.55, 56.52, 59.02, 9, 4.583, 6a0bd5e4e3d63ebdf7b57d60b29f16d3d22648fcc13bf50ad836bfb8bf285fad)	(99.91, 34.29, 67.14, 67.14, 72.14, 62.14, 65.68, 68.99, 68.73, 34.45, 158320.0)	(0.0, 0.48, 0.12, 0.12, 0.09, 0.29, 0.13, 0.12, 0.09, 0.07, 34920.0)	(369.808, ("99b0346d07b325007d641ef9256bb13978ae43ece39bca72b5ba86b995230410", "b6da6cc73e00fdf488be544a5db9e3eb86702d2bbad8891925fbe5c7880d6b2d", "a72bf595ba71607de38468053f192fd054dfd234b894151f54f84f704c4b67a0", "9250a91d68eaf24d204e84de70dcc2860934c0b079ab651349653af21c02d9f2", "2e768cec7679771b9f658b854b0d066110fbf8ff0f99293f67e475d1d464284d"))	
3	mel,8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA	(93.36, 3.57, 51.79, 51.79, 42.86, 60.71, 52.17, 51.52, 47.06, 29, 19.153, db785e53993101af583c613f90cbcea452e65f0c96bfb7256ea4dfef18260db8)	(88.94, 10.71, 55.36, 55.36, 50.0, 60.71, 56.0, 54.84, 52.83, 21, 9.802, 5fedf21ead5eb6f968c43c27ea4cbadee784aa834808ae65e6d6226c1d842881)	(80.53, 7.14, 53.57, 53.57, 53.57, 53.57, 53.57, 53.57, 53.57, 13, 9.055, fdb7ba6b84b334cac7bccd73ca5300ccca7b0111e4bf2a43ece39aee289d1188)	(93.36, 3.57, 51.79, 51.79, 42.86, 60.71, 52.17, 51.52, 47.06, 29, 10.026, db785e53993101af583c613f90cbcea452e65f0c96bfb7256ea4dfef18260db8)	(88.94, 10.71, 55.36, 55.36, 50.0, 60.71, 56.0, 54.84, 52.83, 21, 9.781, 5fedf21ead5eb6f968c43c27ea4cbadee784aa834808ae65e6d6226c1d842881)	(80.53, 7.14, 53.57, 53.57, 53.57, 53.57, 53.57, 53.57, 53.57, 13, 9.086, fdb7ba6b84b334cac7bccd73ca5300ccca7b0111e4bf2a43ece39aee289d1188)	(99.73, 27.86, 63.93, 63.93, 53.57, 74.29, 67.69, 61.51, 59.78, 33.56, 157520.0)	(0.0, 0.15, 0.04, 0.04, 0.0, 0.15, 0.1, 0.02, 0.02, 0.11, 19120.0)	(385.185, ("6368ee9749b35b7c348f60229619a963d3801519e53fe0ff341aa0b996eba35b", "059f467777be79b24d110dfc008381deb0bd81e4a10f656f18d1142d15803ea3", "298ae08f662ec1d5fe090342762158f0b15f405a0dff99e3a4968821e04ffb2f", "d0cc2d113cbdda4209003a565c0455762aa43c2ddd5d579a817b9e73f943c537", "15df0427353d9a4d152fc099471304ed03b10f34d4543261f1780c1d862070f3"))	
4	mel,8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA	(96.46, 50.0, 75.0, 75.0, 78.57, 71.43, 73.33, 76.92, 75.86, 43, 10.794, 2184e40855690651e7cb509d26abadce0885516cd4d74fd24542b29f14d21ecc)	(85.84, 39.29, 69.64, 69.64, 78.57, 60.71, 66.67, 73.91, 72.13, 21, 6.698, 496f1164cbf3d348f976270ab94e1adf1d10925d1ec65f33fcd0d608ef77dc77)	(80.97, 46.43, 73.21, 73.21, 82.14, 64.29, 69.7, 78.26, 75.41, 11, 6.54, d4d5ca86841f608ddc0ce40d6a50896f8e8ce0249e821e770d984eb10c800811)	(95.13, 46.43, 73.21, 73.21, 78.57, 67.86, 70.97, 76.0, 74.58, 39, 8.625, 38d86234e4b427dbcbc6530af005d326e18d514cd2cdd58c1ace97cba4fb33c7)	(85.84, 39.29, 69.64, 69.64, 78.57, 60.71, 66.67, 73.91, 72.13, 19, 6.659, ceb7373f6a2d3b09814a61b61a974dbb02c69a83e15c77f928921de79a064444)	(80.97, 46.43, 73.21, 73.21, 82.14, 64.29, 69.7, 78.26, 75.41, 11, 6.439, d4d5ca86841f608ddc0ce40d6a50896f8e8ce0249e821e770d984eb10c800811)	(99.47, 45.71, 72.86, 72.86, 75.71, 70.0, 71.87, 74.36, 73.59, 32.3, 157000.0)	(0.0, 0.22, 0.05, 0.05, 0.22, 0.42, 0.14, 0.06, 0.05, 0.09, 6600.0)	(387.353, ("beabec390b6a046b259bdb37ef9b5178bfba6989be3497277db2ada5069f48ac", "129d1203ee30b3fded3a134d44e1c7c13827db82dcba43b6aee04b3f5bdeff4c", "3f239bad7c9576a640089e301b098f09e11a739a44405669f5438d7afcb0478c", "16d7ff108140af8202eac3d9b61b41218d32a485f89969fd29fdaf1801b6e8e3", "0da622df841f418183e6a9eee36609e5c0232d2893885a11270b2cd6f7b3c638"))	
5	mel,8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA	(93.81, 32.14, 66.07, 66.07, 67.86, 64.29, 65.52, 66.67, 66.67, 37, 16.691, 905129f11ef34015f4de84e9e0b22964cdffc262a7f9694e667c4add575c2258)	(91.59, 25.0, 62.5, 62.5, 60.71, 64.29, 62.96, 62.07, 61.82, 31, 13.848, e5b911a71a9d250a632453fe5f6690be7fd7f7597fbb5e548e921159e65c61a1)	(88.5, 14.29, 57.14, 57.14, 60.71, 53.57, 56.67, 57.69, 58.62, 25, 13.141, 80536beb496b192990e44a4a7baa774b7579464e1e22af381e09e08f82e0fca9)	(92.04, 32.14, 66.07, 66.07, 64.29, 67.86, 66.67, 65.52, 65.45, 33, 14.062, 8d03b6d702b78067fd9a7be130acfe61a8c226e10680b84b3af20e95f8ad0069)	(90.71, 25.0, 62.5, 62.5, 57.14, 67.86, 64.0, 61.29, 60.38, 31, 14.042, 76e65cefc8e46ee9820f891e2b618fe50c1710c9527e0041ff23375a7820438e)	(88.5, 14.29, 57.14, 57.14, 60.71, 53.57, 56.67, 57.69, 58.62, 25, 13.144, 80536beb496b192990e44a4a7baa774b7579464e1e22af381e09e08f82e0fca9)	(99.91, 45.0, 72.5, 72.5, 68.57, 76.43, 74.37, 70.95, 71.33, 34.1, 160840.0)	(0.0, 0.87, 0.22, 0.22, 0.34, 0.17, 0.22, 0.22, 0.27, 0.03, 25480.0)	(403.369, ("aec06ce586b5f18c3313754b6c1e3937845d7eb75aaecb0420129f9f55369a87", "f8dc5610904c7ae6febbb3413002fa14452d3bc4987455428dea01e2f497d6e1", "9bdf8ffbd946ccf1c4d99f5a9051f76467e253830f4cf2f91879a827bb8e0f35", "3a2724f130915dad0ab2df9f2c0c81c28460b3cb054716b2a1880518d7dc7a0d", "16f3f123d7c917c69cdce847c4be1af206e1db1b074a88b04498cc6e16818cbc"))	
6	mel,8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA	(96.9, 21.43, 60.71, 60.71, 71.43, 50.0, 58.82, 63.64, 64.52, 37, 12.13, ac173f7172bf21352e59f5bf9e33c93d711f6b2f9db235c680550cc3f2411404)	(92.04, 21.43, 60.71, 60.71, 64.29, 57.14, 60.0, 61.54, 62.07, 27, 10.462, 7c5b77cd68e98396b5942468ab6cb2d9fba57306bf687b5c27712844a8f12613)	(79.2, 21.43, 60.71, 60.71, 78.57, 42.86, 57.89, 66.67, 66.67, 11, 8.28, 6eeba0a558c4c27155dd32e574a3fa9d2fad4e2da1dca57da6664480823e45b6)	(95.58, 28.57, 64.29, 64.29, 71.43, 57.14, 62.5, 66.67, 66.67, 35, 10.813, be928a9d2337c9ba6589f4b1cc313a7b21905bbf74f366ac3e7f19c204359f64)	(92.04, 28.57, 64.29, 64.29, 67.86, 60.71, 63.33, 65.38, 65.52, 29, 11.012, ee5c62ba8d70ff833ebebc5ef4017a4077826575f5d7ffcf9ea3d90b17c43eb3)	(79.2, 21.43, 60.71, 60.71, 78.57, 42.86, 57.89, 66.67, 66.67, 11, 8.003, 6eeba0a558c4c27155dd32e574a3fa9d2fad4e2da1dca57da6664480823e45b6)	(99.73, 33.57, 66.79, 66.79, 65.71, 67.86, 67.31, 66.36, 66.46, 30.97, 152800.0)	(0.0, 0.61, 0.15, 0.15, 0.1, 0.38, 0.2, 0.12, 0.11, 0.05, 32600.0)	(361.529, ("bc72c08cbf51c7fc81202cf0a69a2f0022f7214f7c9a5944d23a90c09b9a8b2a", "831800246e4bc316eb8acd5e865e2f9d188677e6c9087b1bf9f7efccd1ef9b56", "84510a6ea620f6cfa49a9683233b56936ba0e75560f4eaa0e2e694047a58e460", "7ce5d12bc411e93f0f2f90a5f7539150568f69e27c6c01d7ccfde4e093108a97", "66e0c2e5780313f91f51cc22bc6463b0fd654edcaa4290e4a0c5781fc8b94a1e"))	
7	mel,8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA	(96.46, 32.14, 66.07, 66.07, 67.86, 64.29, 65.52, 66.67, 66.67, 37, 20.827, 00750202c700e7d3e564ba944385df8568fb5738a080176e62aaf41540cf3bc1)	(88.5, 39.29, 69.64, 69.64, 89.29, 50.0, 64.1, 82.35, 74.63, 25, 15.088, d975acd6d9195cd6782eadc48cdf18e611cccf9a42f1a35ba3c6d9f0896d9ddc)	(78.32, 25.0, 62.5, 62.5, 78.57, 46.43, 59.46, 68.42, 67.69, 11, 13.615, 3afec171f5ef56cebfc4cdf8db09b1aa6fdaa233f083a0c1eab7cf076b022eec)	(95.13, 32.14, 66.07, 66.07, 67.86, 64.29, 65.52, 66.67, 66.67, 35, 18.421, 1814669442917fa9afb9c69c2dfae81e65f43e697a90f55187e1be9cd7a88ff9)	(88.05, 39.29, 69.64, 69.64, 89.29, 50.0, 64.1, 82.35, 74.63, 23, 14.853, b7337c52b8978791126dfa8b3d6d03651a04647787b9eabd63635c7a4bd320d7)	(78.32, 25.0, 62.5, 62.5, 78.57, 46.43, 59.46, 68.42, 67.69, 11, 13.591, 3afec171f5ef56cebfc4cdf8db09b1aa6fdaa233f083a0c1eab7cf076b022eec)	(99.82, 39.29, 69.64, 69.64, 81.43, 57.86, 66.15, 75.57, 72.91, 33.89, 158320.0)	(0.0, 0.83, 0.21, 0.21, 0.09, 0.73, 0.24, 0.16, 0.11, 0.02, 17720.0)	(360.443, ("ced4d6f1d9a8430194363f9a56f1d036659d2e3926adb48d767ddf8d0cab81f9", "c0c39c30717012eae939ed290ab27268570536b10c2f311b4328aa8be3f0ea7b", "4b83cd100de297855dc76f5e20b469658a93fa1ca0209ea6aad1978a6529ce49", "17eac9730c6128bfc04de39241a939bea5123407589d849fb03d9b55d25a4fe1", "dd2c057b5234a180feb64a0b32321b6e4728393aa9d17ddb9a835ca00fd4c540"))	
8	mel,8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA	(96.46, 3.57, 51.79, 51.79, 57.14, 46.43, 51.61, 52.0, 54.24, 39, 19.474, b4376bfa7f4f418f54d9b8ae4116673bdb5c167e6578f6e5f31d2562f8f3e3ed)	(88.94, 17.86, 58.93, 58.93, 60.71, 57.14, 58.62, 59.26, 59.65, 23, 17.158, 1e947cab783fb42fc7dd5c19a1a01bcfd5155013a3577bf747ad34486a4da3c2)	(88.94, 17.86, 58.93, 58.93, 60.71, 57.14, 58.62, 59.26, 59.65, 23, 17.056, 1e947cab783fb42fc7dd5c19a1a01bcfd5155013a3577bf747ad34486a4da3c2)	(94.69, 3.57, 51.79, 51.79, 64.29, 39.29, 51.43, 52.38, 57.14, 37, 17.627, c641a407c42dec74933dbe84a493b90d667d0f4d42655fb16fc508d1cf9396b3)	(88.5, 17.86, 58.93, 58.93, 64.29, 53.57, 58.06, 60.0, 61.02, 23, 16.432, 3aaf458c51636d9f737e4d50080bc9b0f61cd3ebc15108ada33911e8d823767e)	(88.5, 17.86, 58.93, 58.93, 64.29, 53.57, 58.06, 60.0, 61.02, 23, 15.767, 3aaf458c51636d9f737e4d50080bc9b0f61cd3ebc15108ada33911e8d823767e)	(99.82, 26.43, 63.21, 63.21, 54.29, 72.14, 66.44, 61.14, 59.65, 30.88, 157920.0)	(0.0, 0.61, 0.15, 0.15, 0.09, 0.47, 0.37, 0.08, 0.12, 0.01, 24920.0)	(389.049, ("97db2c45295a4065cf9c09057b39854839c8d3c6371a4dead0df3ff310e4eeab", "382ef0969d7401afc02706e0d813a626e381e4121410cb7b73dab0633ec31f05", "93d04085b5d7c4f077ef38416e88b60f586e63e5cee887c644c80784135e3486", "e1839ac2c3b13afc801a459563102c585113e4486bd6405eb722e9a53cc02937", "6f3a88692295fb5ec288ebbdb221e1a16893e0b38a2dadca5b373e4fcfa52b8b"))	
9	mel,8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA	(90.27, 39.29, 69.64, 69.64, 78.57, 60.71, 66.67, 73.91, 72.13, 25, 14.581, 720c3fcdd9e031e86467a96bdd58de2c1959a8ea64395c133af8cc405f197e92)	(88.5, 42.86, 71.43, 71.43, 82.14, 60.71, 67.65, 77.27, 74.19, 21, 12.768, f17ebe6388215a9c939566bad76c9e8c6f2db1ee65d0e34a82cb58b7ab86d364)	(76.55, 39.29, 69.64, 69.64, 78.57, 60.71, 66.67, 73.91, 72.13, 7, 9.804, fc918fca927fcadbc7d76b7728d7bb5e61e2a5bb284d771c63088983163fe377)	(91.59, 42.86, 71.43, 71.43, 78.57, 64.29, 68.75, 75.0, 73.33, 27, 13.385, e4da3f49aa2d73e06c6521c7e423008df34139dc545dfcf4657abe12f1f7fbb0)	(88.94, 42.86, 71.43, 71.43, 82.14, 60.71, 67.65, 77.27, 74.19, 23, 13.098, bbafdc2253570c5ff53e4ee85bce475f2f197a50d64d0d5d9eba690cef3832c7)	(76.55, 39.29, 69.64, 69.64, 78.57, 60.71, 66.67, 73.91, 72.13, 7, 10.527, fc918fca927fcadbc7d76b7728d7bb5e61e2a5bb284d771c63088983163fe377)	(99.82, 35.71, 67.86, 67.86, 68.57, 67.14, 67.57, 68.19, 68.05, 31.29, 154440.0)	(0.0, 0.51, 0.13, 0.13, 0.22, 0.09, 0.11, 0.16, 0.15, 0.01, 43880.0)	(355.952, ("c7e8b0559994f615cb0df6f310b3f4d6e2a66cf0dc3fe7c4494e2ae74d485be0", "eb68a4447362b37f0df98c996663f896502da134f7d62720bdc254d9d6bfd2c9", "79a01195c18ec53da8d69461dcd0de935c4431ef4f042b98ac8bda07eb119aa2", "0358a6005b80abf7733ecd7095a30b96fb92f013a54dd24f3e98f3654be4678a", "aeb033b67b84b0f02c8c53f99b172642cfacb12a777a06533c40d5b76e769f4d"))	
10	mel,8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA	(92.48, 17.86, 58.93, 58.93, 57.14, 60.71, 59.26, 58.62, 58.18, 31, 8.57, 695d1b7ddd50fff7256de302ad8ef0829f6932bb9efd00537ad772ac859637cd)	(92.48, 17.86, 58.93, 58.93, 57.14, 60.71, 59.26, 58.62, 58.18, 31, 8.022, 695d1b7ddd50fff7256de302ad8ef0829f6932bb9efd00537ad772ac859637cd)	(84.07, 17.86, 58.93, 58.93, 57.14, 60.71, 59.26, 58.62, 58.18, 15, 7.698, 3472939377384916d68f7150df23748caa1b21da5b5edaa0cf72ade7b3a9b0dc)	(90.71, 3.57, 51.79, 51.79, 50.0, 53.57, 51.85, 51.72, 50.91, 31, 7.999, 09a3c121e26164e2db4116b4e89c9e4f4d27eb02d282fa79c1fcb26c048b11f1)	(89.38, 10.71, 55.36, 55.36, 50.0, 60.71, 56.0, 54.84, 52.83, 27, 7.988, 46259366f3fda0025e5fe38b3a83648e7c69119fb037c10d91cba126cea13bef)	(84.07, 17.86, 58.93, 58.93, 57.14, 60.71, 59.26, 58.62, 58.18, 15, 7.659, 3472939377384916d68f7150df23748caa1b21da5b5edaa0cf72ade7b3a9b0dc)	(99.65, 49.29, 74.64, 74.64, 60.71, 88.57, 84.31, 69.32, 70.5, 35.93, 160720.0)	(0.01, 0.09, 0.02, 0.02, 0.13, 0.09, 0.1, 0.03, 0.05, 0.02, 108920.0)	(378.174, ("79e6ae88f0c5784d3b64d399196b59c79efe9711c75c353db80fe430292f60cd", "1bc157ecb8f390cd61207cd2d92e0132163bb05d2fd9d2d452e489db1c820b71", "0bcf4fb5d7378e2702f3f94e57937738803289b34f18571bfeb664ea4b02fafa", "d3e9484a25a19d76954214e7d9eefe5decf87c1292b555513b2a65fc296b1ac5", "02c2bade8d788fccbe34aac2626d5cee7f7f9f295286c669e1777a816217827d"))	
1	htkmel,8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA	(94.69, 14.29, 57.14, 57.14, 67.86, 46.43, 55.88, 59.09, 61.29, 35, 44.446, ecdde0a5b8fb308471d6c60eec9a00f95cdd38b3c75e40e0d8c7aa6567f3410d)	(92.04, 17.86, 58.93, 58.93, 71.43, 46.43, 57.14, 61.9, 63.49, 27, 16.762, f6ab269813baf17f3d96872b3eabc61892754f84c1a8e07b735dc25d64a3d1cd)	(89.82, 10.71, 55.36, 55.36, 60.71, 50.0, 54.84, 56.0, 57.63, 23, 16.789, 0e1ab29c1f947dbf0fb2a0c79c0d45c567dc62d18c1ccddbf2a73e2aefee4c3d)	(94.25, 17.86, 58.93, 58.93, 71.43, 46.43, 57.14, 61.9, 63.49, 31, 17.0, e7682b2d1cf4cc64297eb00ba86299aa1592fa92edf1e88321e47f6973c92d48)	(92.04, 17.86, 58.93, 58.93, 71.43, 46.43, 57.14, 61.9, 63.49, 27, 16.772, f6ab269813baf17f3d96872b3eabc61892754f84c1a8e07b735dc25d64a3d1cd)	(89.82, 10.71, 55.36, 55.36, 60.71, 50.0, 54.84, 56.0, 57.63, 23, 16.662, 0e1ab29c1f947dbf0fb2a0c79c0d45c567dc62d18c1ccddbf2a73e2aefee4c3d)	(99.56, 56.43, 78.21, 78.21, 80.71, 75.71, 76.99, 79.7, 78.77, 33.45, 156440.0)	(0.0, 0.22, 0.05, 0.05, 0.04, 0.22, 0.11, 0.03, 0.04, 0.04, 24280.0)	(425.389, ("b19e5e16c2cb58e33e527f3aeee4c643cbfc63d3c85995d7acfc02a5d6c55cb1", "ae0c433a64f91147e92317f0fdade23c2fe908b9cf6c6dabf3a0e2e1216c91e2", "935ddd5cbbc1d060f57c2846d150ea4e94f3e1bd484248f67c046f1406126050", "8005b07ff1bfd371c11a2bac2e1a362275346a73a79056b5e34a83d76dd2b8d6", "59515a77e64dd31005d946ccfd20bc534050898e299259ad356f34adf5d61cfe"))	
2	htkmel,8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA	(98.23, 7.14, 53.57, 53.57, 57.14, 50.0, 53.33, 53.85, 55.17, 43, 24.279, 5e7cc378d421fcd14207d65c09aeffa3d0fea8544b42de5d927ef7db7b3ca5ba)	(90.27, 10.71, 55.36, 55.36, 64.29, 46.43, 54.55, 56.52, 59.02, 27, 9.815, 744d006537489c11b6d939dabd5321b618c1016d27a3375b7efc01c7ceb829fe)	(83.19, 7.14, 53.57, 53.57, 53.57, 53.57, 53.57, 53.57, 53.57, 15, 9.006, e18b0b55afe04354139a821f5c0aab11eb70c4adbd90cda78a03fb22ac1c243f)	(96.02, 7.14, 53.57, 53.57, 57.14, 50.0, 53.33, 53.85, 55.17, 41, 10.215, 7e98e3c0bad6cfe1e728f38bd8a64e2c880db56c116f5754ac9523c86670d27c)	(89.38, 10.71, 55.36, 55.36, 64.29, 46.43, 54.55, 56.52, 59.02, 27, 9.778, 27f257db017667a11f6d0bdeb21174fc4e033f09344eec2ee81fb93a475439bd)	(83.19, 7.14, 53.57, 53.57, 53.57, 53.57, 53.57, 53.57, 53.57, 15, 8.976, e18b0b55afe04354139a821f5c0aab11eb70c4adbd90cda78a03fb22ac1c243f)	(100.0, 25.71, 62.86, 62.86, 67.86, 57.86, 61.63, 64.72, 64.45, 35.13, 158360.0)	(0.0, 0.73, 0.18, 0.18, 0.77, 0.28, 0.12, 0.35, 0.29, 0.11, 119080.0)	(385.651, ("1b04d68cb08bf1ac3b073b646ca6061c4ac8bbaa990de229fd364aa2bbe1a860", "7d9b81bf166a3651607994cf9001ea41082a9c5abd000bde84599fd32b75f998", "af7f243eb63b53ad32e1fe6de1b707eff31f49ae24416481af5413dc2521ba4e", "34edb992cf123a8d7b0b003af034b3f368121e02bf0220b8bd4883a8ec7c7cab", "e067bc22fa5d3901a0a2f9f414f832b3ca195542b2f6efa24c636bbc0df51748"))	
3	htkmel,8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA	(97.79, 21.43, 60.71, 60.71, 67.86, 53.57, 59.38, 62.5, 63.33, 37, 15.488, d4df33bfcddb415c6e640d61f44aae33cee21380e82f1fcf43616dcfded0d452)	(86.28, 14.29, 57.14, 57.14, 60.71, 53.57, 56.67, 57.69, 58.62, 15, 8.178, 74610ec6c5d5343c1b1ff8c65488d5104233bf6da544c88d444d294c3fcc0ea7)	(78.76, 14.29, 57.14, 57.14, 60.71, 53.57, 56.67, 57.69, 58.62, 9, 6.423, daec73fa1b3fb9a5afb1ad8caf881a27563e3a25d5c2a8ee4ac5925a814dee28)	(96.46, 21.43, 60.71, 60.71, 67.86, 53.57, 59.38, 62.5, 63.33, 35, 10.441, 0967ef398fe04dd0beccd8d9fee27613233076ca8a18a08fa31e16b6f2805395)	(85.84, 14.29, 57.14, 57.14, 60.71, 53.57, 56.67, 57.69, 58.62, 15, 8.149, f163d99cd365e456ad85c83524aa72aef8b638898f6ccb56878cff30e42c0301)	(78.76, 14.29, 57.14, 57.14, 60.71, 53.57, 56.67, 57.69, 58.62, 9, 6.384, daec73fa1b3fb9a5afb1ad8caf881a27563e3a25d5c2a8ee4ac5925a814dee28)	(99.82, 34.29, 67.14, 67.14, 59.29, 75.0, 70.51, 64.77, 64.38, 31.06, 153400.0)	(0.0, 0.93, 0.23, 0.23, 0.17, 0.38, 0.44, 0.14, 0.25, 0.02, 8800.0)	(408.552, ("93f5a845c806cd3a281cad26b0e294356a8b56be74d179a9ce2b6beeaa03df57", "0e806d38e31589c0f48c9f9bfe9e71ce2f075e207530d1c6a0e74cc707b0f2f5", "a75f8728fb81afb684d75d7b41c4df5a3be4d3ced93c82c18144379cc76b124f", "ffdab497d257da8a63b1aad25bcdeddeaa9a22d918bba59bd9890280211cdc04", "766b3ef7175982f8be6f35185529382428ef520828e9e5898ab26c08e8c244ae"))	
4	htkmel,8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA	(92.92, 21.43, 60.71, 60.71, 64.29, 57.14, 60.0, 61.54, 62.07, 29, 14.998, 70a6645372147d5b89f6c4b417f7cfe510ab40ef443e4da8eb132a8f1851ca23)	(92.04, 21.43, 60.71, 60.71, 64.29, 57.14, 60.0, 61.54, 62.07, 27, 10.067, df162eb9995ca5893efe174208c43a068ebe0a58d1fa0745a1d26fe5c5404dc1)	(76.11, 25.0, 62.5, 62.5, 78.57, 46.43, 59.46, 68.42, 67.69, 9, 4.483, 0842e15b6e7a21bd2897686c30041e6c84d306f3e476a8c6052408dfcfadaee1)	(91.15, 17.86, 58.93, 58.93, 60.71, 57.14, 58.62, 59.26, 59.65, 29, 10.167, fed76b0265831da38c29ff13f7c97f363d921faab684c68231a43ddfe6e92444)	(91.15, 17.86, 58.93, 58.93, 60.71, 57.14, 58.62, 59.26, 59.65, 27, 10.076, b0c52d15f7f5cd2b97babcbb22ae9eb998e7a394fbc9d53ecd704038a79432dd)	(76.11, 25.0, 62.5, 62.5, 78.57, 46.43, 59.46, 68.42, 67.69, 9, 4.478, 0842e15b6e7a21bd2897686c30041e6c84d306f3e476a8c6052408dfcfadaee1)	(99.65, 50.0, 75.0, 75.0, 75.71, 74.29, 74.72, 75.44, 75.16, 33.78, 156520.0)	(0.0, 0.26, 0.06, 0.06, 0.15, 0.15, 0.08, 0.1, 0.06, 0.07, 37120.0)	(382.223, ("ab642fef6f6f98d9fccbf4e0e1c0fedacbfbaf4079397a27377b3957119b9807", "48df2e62b39d61f0519e991a188856c76f38451568ef89b0956c737277af3ce0", "740f36fbc7b4c6891d0e8c83a4927d68f3ff26d9e0bce046aee6fb4b4bd8cc6f", "60391952d7ea6488652c1d245d49cd180e1c0203cede0bd11fde305b63cc8990", "826c1c577dbf8f53646f968fbd2639967fcbc1e0359e2b767dacf5156ac7f7bf"))	
